row #,tables,category,FXY,code figure,note (github),note id,note (manual),note applies to,my comment
1000,Code Flag Tables for BUFRCREX Table B,01,001003,/,/,/,/,/,no notes
1001,Code Flag Tables for BUFRCREX Table B,01,001007,n/a,n/a,no id,(See common Code table C-5 Part C/c.),table,no codes
1002,Code Flag Tables for BUFRCREX Table B,01,001024,/,/,/,/,/,no notes
1003,Code Flag Tables for BUFRCREX Table B,01,001028,/,/,/,/,/,no notes
1004,Code Flag Tables for BUFRCREX Table B,01,001029,n/a,n/a,*,Surface solar irradiance,title,
1005,Code Flag Tables for BUFRCREX Table B,01,001031,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1006,Code Flag Tables for BUFRCREX Table B,01,001033,n/a,n/a,no id,(See common Code table C-1 in Part C/c.),table,no codes
1007,Code Flag Tables for BUFRCREX Table B,01,001034,n/a,n/a,no id,(To be defined by centres themselves -See common Code table C-12 in Part C/c.),table,
1008,Code Flag Tables for BUFRCREX Table B,01,001036,n/a,n/a,no id,(The first three digits represent the ISO country code),table,
1009,Code Flag Tables for BUFRCREX Table B,01,001038,/,/,/,/,/,no notes
1010,Code Flag Tables for BUFRCREX Table B,01,001044,/,/,/,/,/,no notes
1011,Code Flag Tables for BUFRCREX Table B,01,001052,/,/,/,/,/,no notes
1012,Code Flag Tables for BUFRCREX Table B,01,001090,/,/,/,/,/,no notes
1013,Code Flag Tables for BUFRCREX Table B,01,001092,/,/,/,/,/,no notes
1014,Code Flag Tables for BUFRCREX Table B,01,001101,n/a,n/a,1,"EPSG is a dataset of coordinate system and coordinate system transformations, originally produced and maintained by the European Petroleum Survey Group. It is now maintained by the Geodesy Subcommittee of the International Association of Oil and Gas Producers Geomatics Committee.",table,
1015,Code Flag Tables for BUFRCREX Table B,01,001150,n/a,n/a,2,"When Code figure 4 is used to specify a custom coordinate reference system, the ellipsoidal datum shall be an oblate ellipsoid of revolution, where the major axis is uniplanar with the equatorial plane and the minor axis traverses the prime meridian towards the prime pole. North corresponds to the directionfrom the Equator to the prime pole. East corresponds to the counterclockwise direction from the primemeridian as viewed from above the North Pole. In this case, the semi-major and semi-minor axes mustbe specified (e.g. by descriptors 0 01 152 and 0 01 153).",tbd ,
1016,Code Flag Tables for BUFRCREX Table B,01,001150,/,/,/,/,/,no notes
1017,Code Flag Tables for BUFRCREX Table B,01,001151,/,/,/,/,/,no notes
1018,Code Flag Tables for BUFRCREX Table B,02,002001,/,/,/,/,/,no notes
1019,Code Flag Tables for BUFRCREX Table B,03,002002,/,/,/,/,/,no notes
1020,Code Flag Tables for BUFRCREX Table B,04,002003,/,/,/,/,/,no notes
1021,Code Flag Tables for BUFRCREX Table B,05,002004,/,/,/,/,/,no notes
1022,Code Flag Tables for BUFRCREX Table B,06,002006,/,/,/,/,/,no notes
1023,Code Flag Tables for BUFRCREX Table B,07,002007,/,/,/,/,/,no notes
1024,Code Flag Tables for BUFRCREX Table B,08,002008,/,/,/,/,/,no notes
1025,Code Flag Tables for BUFRCREX Table B,09,002011,n/a,n/a,no id,(See common Code table C-2 in Part C/c.),table,no codes
1026,Code Flag Tables for BUFRCREX Table B,10,002012,n/a,n/a,no id,(To be developed),table,no codes
1027,Code Flag Tables for BUFRCREX Table B,11,002013,8,*,*,GRUAN = GCOS Reference Upper-Air Network,code,
1028,Code Flag Tables for BUFRCREX Table B,12,002014,n/a,n/a,no id,(See common Code table C-7 in Part C/c.),table,no codes
1029,Code Flag Tables for BUFRCREX Table B,13,002015,/,/,/,/,/,no notes
1030,Code Flag Tables for BUFRCREX Table B,14,002016,/,/,/,/,/,no notes
1031,Code Flag Tables for BUFRCREX Table B,15,002017,/,/,/,/,/,no notes
1032,Code Flag Tables for BUFRCREX Table B,16,002019,n/a,n/a,no id,(See common Code table C-8 in Part C/c.),table,no codes
1033,Code Flag Tables for BUFRCREX Table B,17,002020,/,/,/,/,/,no notes
1034,Code Flag Tables for BUFRCREX Table B,18,002021,/,/,/,/,/,no notes
1035,Code Flag Tables for BUFRCREX Table B,19,002022,n/a,n/a,1,"Clear path means the sounding has been generated from clear radiances derived from actual clear spot measurements. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",tbd ,
1036,Code Flag Tables for BUFRCREX Table B,20,002022,n/a,n/a,2,"Partly cloudy path means the sounding has been generated from clear radiances which have been calculated from partly cloudy spots. Tropospheric and stratospheric HIRS data, as well as MSU and SSU data, have been used.",tbd ,
1037,Code Flag Tables for BUFRCREX Table B,21,002022,n/a,n/a,3,"Cloudy path means the sounding has been generated only from stratospheric HIRS data, MSU data andSSU data. Tropospheric HIRS data have not been used because of cloudy conditions.",tbd ,
1038,Code Flag Tables for BUFRCREX Table B,22,002023,/,/,/,/,/,no notes
1039,Code Flag Tables for BUFRCREX Table B,23,002024,/,/,/,/,/,no notes
1040,Code Flag Tables for BUFRCREX Table B,24,002025,n/a,n/a,no id,"Bit flags denoting the instrument and/or channels used in obtaining various physical parameters. If, in any grouping of parameters, all bits = 0, then no retrieval was made for that parameter or set of parameters.",table,at top of table
1041,Code Flag Tables for BUFRCREX Table B,25,002025,16,*,*,HIRS* is equivalent to: HIRS channels 1 (669 cm-1)2 (679 cm-1)3 (690 cm-1)4 (2358 cm-1),code,"superscript, formatted "
1042,Code Flag Tables for BUFRCREX Table B,26,002025,21,*,*,HIRS* is equivalent to: HIRS channels 1 (669 cm-1)2 (679 cm-1)3 (690 cm-1)4 (2358 cm-1),code,"superscript, formatted "
1043,Code Flag Tables for BUFRCREX Table B,27,002030,1,*,*,Value deprecated. Code figure 6 should be used instead.,code,
1044,Code Flag Tables for BUFRCREX Table B,28,002031,n/a,n/a,1,Code figures 1-9: Duration and time of current measurement (vector or Doppler current profiling method).,tbd ,
1045,Code Flag Tables for BUFRCREX Table B,29,002031,n/a,n/a,2,Code figures 11-19: Period of current measurement (drift method).,tbd ,
1046,Code Flag Tables for BUFRCREX Table B,30,002031,n/a,n/a,3,H = Time of observation.,tbd ,
1047,Code Flag Tables for BUFRCREX Table B,31,002032,/,/,/,/,/,no notes
1048,Code Flag Tables for BUFRCREX Table B,32,002033,/,/,/,/,/,no notes
1049,Code Flag Tables for BUFRCREX Table B,33,002034,/,/,/,/,/,no notes
1050,Code Flag Tables for BUFRCREX Table B,34,002036,/,/,/,/,/,no notes
1051,Code Flag Tables for BUFRCREX Table B,35,002037,/,/,/,/,/,no notes
1052,Code Flag Tables for BUFRCREX Table B,36,002038,/,/,/,/,/,no notes
1053,Code Flag Tables for BUFRCREX Table B,37,002039,/,/,/,/,/,no notes
1054,Code Flag Tables for BUFRCREX Table B,38,002040,/,/,/,/,/,no notes
1055,Code Flag Tables for BUFRCREX Table B,39,002041,/,/,/,/,/,no notes
1056,Code Flag Tables for BUFRCREX Table B,40,002042,/,/,/,/,/,no notes
1057,Code Flag Tables for BUFRCREX Table B,41,002044,/,/,/,/,/,no notes
1058,Code Flag Tables for BUFRCREX Table B,42,002045,/,/,/,/,/,no notes
