TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 001,,(Indicateur régional OMM et chiffre indicatif OMM de la station),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 001,0 01 001,Indicateur régional OMM,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 001,0 01 002,Chiffre indicatif OMM de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 002,0 01 003,Région OMM/zone géographique,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 002,0 01 004,Sous-région OMM,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 002,0 01 005,Indicateur d'identification de la bouée ou de la plate-forme,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 003,,(Indicatif d'appel du navire et déplacement),Indicatif d'appel du navire,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 003,0 01 011,Indicateur d'identification du navire ou d'une station terrestre mobile,Indicatif d'appel du navire,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 003,0 01 012,Direction de déplacement de la plate-forme d'observation mobile,Indicatif d'appel du navire,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 003,0 01 013,Vitesse de déplacement de la plate-forme d'observation mobile,Indicatif d'appel du navire,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 004,,(Identification de la station d'observation en surface),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 004,0 01 001,Indicateur régional OMM,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 004,0 01 002,Chiffre indicatif OMM de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 004,0 01 015,Nom de la station ou du site,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 004,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 005,,(Centre d'origine/centre secondaire),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 005,0 01 035,Centre d'origine/de production,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 005,0 01 034,Identification du centre secondaire d'origine/ de production,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 011,,"(Année, mois, jour)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 011,0 04 001,Année,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 011,0 04 002,Mois,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 011,0 04 003,Jour,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 012,,"(Heure, minute)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 012,0 04 004,Heure,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 012,0 04 005,Minute,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 013,,"(Heure, minute, seconde)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 013,0 04 004,Heure,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 013,0 04 005,Minute,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 013,0 04 006,Seconde,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 014,,(Période),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 014,1 02 002,Répéter 2 descripteurs 2 fois,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 014,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 014,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 0018,,(Indicatif d'appel chiffré du navire et méthode de chiffrement),Voir les notes 2 à 4,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 0018,0 01 114,Indicateur d'identification chiffré du navire ou d'une station terrestre mobile (chiffrement Base64),Voir les notes 2 à 4,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 0018,0 25 185,Méthode de chiffrement,Voir les notes 2 à 4,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 0018,0 25 186,Version de la clef de chiffrement,Voir les notes 2 à 4,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 021,,(Latitude/longitude (précision élevée)),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 021,0 05 001,Latitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 021,0 06 001,Longitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 022,,"(Latitude/longitude (précision élevée), hauteur de la station)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 022,0 05 001,Latitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 022,0 06 001,Longitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 022,0 07 001,Hauteur de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 023,,(Latitude/longitude (faible précision)),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 023,0 05 002,Latitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 023,0 06 002,Longitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 024,,"(Latitude/longitude (faible précision), hauteur de la station)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 024,0 05 002,Latitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 024,0 06 002,Longitude,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 024,0 07 001,Hauteur de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 025,,"(Latitude/longitude (faible précision), jour/heure)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 025,3 01 023,Latitude/longitude (faible précision),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 025,0 04 003,Jour,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 025,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,,"(Latitude/longitude (précision élevée), période (jour, heure, minute))",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,3 01 021,Latitude/longitude (précision élevée),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 003,Jour,Période en jours,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 003,Jour,Période en jours,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 004,Heure,Période en heures,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 004,Heure,Période en heures,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 005,Minute,Période en minutes,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 026,0 04 005,Minute,Période en minutes,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027,,(Description d'une catactéristique météorologique en trois ou en deux dimensions),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027,0 08 007,Caractéristique dimensionnelle,"= 0 Point, = 1 Ligne, = 2 Surface, = 3 Volume",
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027,1 01 000,Répétition différée de 1 descripteur,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027,0 31 001,Facteur de répétition différée du descripteur (voir note 5),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027 (suite),3 01 028,"Coupe horizontale d'une caractéristique météorologique décrite sous la forme d'un polygone, d'un cercle, d'une ligne ou d'un point",Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 027 (suite),0 08 007,Caractéristique dimensionnelle,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,,"(Coupe horizontale d'une caractéristique météorologique décrite sous la forme d'un polygone, d'un cercle, d'une ligne ou d'un point)",Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 08 040,Caractéristique du niveau de vol,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 33 042,Type de limite représentée par la valeur qui suit,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 07 010,Niveau de vol,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,1 01 000,Répétition différée de 1 descripteur,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 31 002,Facteur élargi de répétition différée du descripteur (voir note 6),Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,3 01 023,Latitude/longitude (faible précision),Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 19 007,Rayon réel de la caractéristique (voir note 7),Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 028,0 08 040,Caractéristique du niveau de vol,Mis à valeur manquante (annuler),
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 029,,(Identification),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 029,0 01 018,Nom abrégé de la station ou du site,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 029,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 029,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 030,,(Identification avec position),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 030,0 01 018,Nom abrégé de la station ou du site,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 030,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 030,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 030,3 01 024,"Latitude/longitude (faible précision), hauteur de la station",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,,"(Identification et type de station, date/heure, position (précision élevée), hauteur de la station)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,3 01 001,Indicateur régional OMM et chiffre indicatif OMM de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 031,3 01 022,"Latitude/longitude (précision élevée), hauteur de la station",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,,"(Identification et type de station, date/heure, position (faible précision), hauteur de la station)",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,3 01 001,Indicateur régional OMM et chiffre indicatif OMM de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 032,3 01 024,"Latitude/longitude (faible précision), hauteur de la station",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,,(Bouée/plate-forme — fixe),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,0 01 005,Indicateur d'identification de la bouée ou de la plate-forme,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 033,3 01 021,Latitude/longitude (précision élevée),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,,(Bouée/plate-forme — fixe),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,0 01 005,Indicateur d'identification de la bouée ou de la plate-forme,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 034,3 01 023,Latitude/longitude (faible précision),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,,(Bouée/plate-forme — mobile) (voir note 8),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,0 01 005,Indicateur d'identification de la bouée ou de la plate-forme,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,0 01 012,Direction de déplacement de la plate-forme d'observation mobile,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,0 01 013,Vitesse de déplacement de la plate-forme d'observation mobile,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 035,3 01 023,Latitude/longitude (faible précision),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,,(Navire),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,3 01 003,Indicatif d'appel du navire et déplacement,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,0 02 001,Type de station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,3 01 011,"Année, mois, jour",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,3 01 012,"Heure, minute",,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 036,3 01 023,Latitude/longitude (faible précision),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 037,,(Station terrestre pour sondages verticaux),,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 037,3 01 001,Indicateur régional OMM et chiffre indicatif OMM de la station,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 037,0 02 011,Type de radiosonde,,
Catégorie 01 — Séquences correspondant à la position et à l'identification,3 01 037,0 02 012,Méthode de calcul des données de radiosondage,,
