TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 001,0 08 003,"(Pression au sommet des nuages, température, vent) Caractéristique verticale (observations par satellite)",
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 001,0 10 004,Pression,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 001,0 12 001,Température/température de l'air,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 001,0 11 001,Direction du vent,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 001,0 11 002,Vitesse du vent,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 002,0 08 003,"(Pression au sommet des nuages, vent) Caractéristique verticale (observations par satellite)",
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 002,0 10 004,Pression,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 002,0 11 001,Direction du vent,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 002,0 11 002,Vitesse du vent,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 003,0 08 003,(Température en surface) Caractéristique verticale (observations par satellite),
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 003,0 12 001,Température/température de l'air,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 004,0 08 003,"(Pression au sommet des nuages, nébulosité, température) Caractéristique verticale (observations par satellite)",
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 004,0 10 004,Pression,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 004,0 20 010,Nébulosité (totale),
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 004,0 12 001,Température/température de l'air,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 005,0 02 024,(Humidité relative moyenne de la couche) Méthode de calcul de l'humidité moyenne intégrée,Définir la couche
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 005,0 07 004,Pression,Définir la couche
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 005,0 07 004,Pression,Définir la couche
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 005,0 13 003,Humidité relative,Définir la couche
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 006,0 14 001,"(Rayonnement) Rayonnement de grande longueur d'onde, intégré sur 24 heures",Rayonnement ascendant de grande longueur d'onde
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 006,0 14 001,"Rayonnement de grande longueur d'onde, intégré sur 24 heures",Rayonnement descendant de grande longueur d'onde
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 006,0 14 003,"Rayonnement de courte longueur d'onde, intégré sur 24 heures",Rayonnement ascendant de courte longueur d'onde
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 02 163,(GOES-I/M info) Méthode de détermination de l'altitude,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 02 164,Méthode de corrélation des traceurs,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 08 012,Identificateur terre/mer,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 07 024,Distance zénithale du satellite,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 02 057,Origine des renseignements de première approximation pour sondages par satellite,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 08 021,GOES-I/M Caractéristique temporelle,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 001,Année,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 002,Mois,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 003,Jour,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 004,Heure,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 08 021,Caractéristique temporelle,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 024,Période ou décalage dans le temps,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,1 10 004,Répéter 10 descripteurs 4 fois,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 08 021,Caractéristique temporelle,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 004,Heure,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 005,Minute,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 006,Seconde,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 08 021,Caractéristique temporelle,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 004,Heure,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 005,Minute,
Catégorie 04 — Séquences météorologiques communes aux observations par satellite,3 04 011,0 04 006,Seconde,
