TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,SÉQUENCE de DESCRIPTEURS
Table D/06 BUFR,3 06 001,0 02 032,"(Profondeur, température) Indicateur de numérisation",,
Table D/06 BUFR,3 06 001,1 02 000,Répétition différée de 2 descripteurs,,
Table D/06 BUFR,3 06 001,0 31 001,Facteur de répétition différée du descripteur,,
Table D/06 BUFR,3 06 001,0 07 062,Profondeur sous la surface de la mer/de l'eau,,
Table D/06 BUFR,3 06 001,0 22 042,Température de la mer/de l'eau,,
Table D/06 BUFR,3 06 002,0 02 031,(Courant) Durée et heure de la mesure du courant,,
Table D/06 BUFR,3 06 002,0 22 004,Direction du courant,,
Table D/06 BUFR,3 06 002,0 22 031,Vitesse du courant,,
Table D/06 BUFR,3 06 003,0 02 002,(Vent et température en surface) Type d'instruments pour la mesure du vent,,
Table D/06 BUFR,3 06 003,0 11 011,Direction du vent à 10 m,,
Table D/06 BUFR,3 06 003,0 11 012,Vitesse du vent à 10 m,,
Table D/06 BUFR,3 06 003,0 12 004,Température de l'air à 2 m,,
Table D/06 BUFR,3 06 004,0 02 032,"(Profondeur, température, salinité) Indicateur de numérisation",,
Table D/06 BUFR,3 06 004,0 02 033,Méthode de mesure de la salinité en fonction de la profondeur,,
Table D/06 BUFR,3 06 004,1 03 000,Répétition différée de 3 descripteurs,,
Table D/06 BUFR,3 06 004,0 31 001,Facteur de répétition différée du descripteur,,
Table D/06 BUFR,3 06 004,0 07 062,Profondeur sous la surface de la mer/de l'eau,,
Table D/06 BUFR,3 06 004,0 22 043,Température de la mer/de l'eau,,
Table D/06 BUFR,3 06 004,0 22 062,Salinité,,
Table D/06 BUFR,3 06 005,0 02 031,Durée et heure de la mesure du courant,,
Table D/06 BUFR,3 06 005,1 03 000,Répétition différée de 3 descripteurs,,
Table D/06 BUFR,3 06 005,0 31 001,Facteur de répétition différée du descripteur,,
Table D/06 BUFR,3 06 005,0 07 062,Profondeur sous la surface de la mer/de l'eau,,
Table D/06 BUFR,3 06 005,0 22 004,Direction du courant,,
Table D/06 BUFR,3 06 005,0 22 031,Vitesse du courant,,
Table D/06 BUFR,3 06 006,3 06 003,(Paramètres (facultatifs) de mesure par sonde immergée) Vent et température en surface,,
Table D/06 BUFR,3 06 006,3 06 002,Courant,,
Table D/06 BUFR,3 06 006,0 22 063,Profondeur totale de l'eau,,
Table D/06 BUFR,3 06 007,0 01 012,(Blocs réservés pour les paramètres de bouées) Direction de déplacement de la plate-forme d'observation mobile,,
Table D/06 BUFR,3 06 007,0 01 014,Vitesse de dérive de la plate-forme (précision élevée),,
Table D/06 BUFR,3 06 007,3 06 008,Paramètres des instruments pour bouées,,
Table D/06 BUFR,3 06 007,0 04 024,Période ou décalage dans le temps,,
Table D/06 BUFR,3 06 007,0 27 003,Autre latitude possible (faible précision),,
Table D/06 BUFR,3 06 007,0 28 003,Autre longitude possible (faible précision),,
Table D/06 BUFR,3 06 008,0 02 034,(Paramètres des instruments pour bouées) Type de lest (stabilisateur),,
Table D/06 BUFR,3 06 008,0 02 035,Longueur du câble,,
Table D/06 BUFR,3 06 008,0 02 036,Type de bouée,,
Table D/06 BUFR,3 06 011,3 01 021,"(Séquence pour la représentation de l'identification de la station d'observation des marées, du mode de transmission, de l'heure de transmission du message et de l'heure de référence à consigner dans les séries chronologiques) Latitude/longitude (précision élevée)",,
Table D/06 BUFR,3 06 011,0 01 075,Identification de la station d'observation des marées,Identification alphanumérique (5 caractères),
Table D/06 BUFR,3 06 011,0 02 147,Mode de transmission au centre de collecte des données,,
Table D/06 BUFR,3 06 011,3 01 011,"Année, mois, jour",,
Table D/06 BUFR,3 06 011,3 01 013,"Heure, minute, seconde",,
Table D/06 BUFR,3 06 012,0 02 007,"(Séquence pour la représentation du type de capteur, de la caractéristique du capteur et du mode de fonctionnement) Type de capteur pour les instruments de mesure de la hauteur d'eau",,
Table D/06 BUFR,3 06 012,0 08 015,Caractéristique du capteur,,
Table D/06 BUFR,3 06 012,0 08 032,Mode de fonctionnement,,
Table D/06 BUFR,3 06 012,3 06 029,Séquence pour la représentation des informations d'échantillonnage provenant du tsunamimètre relatives aux hauteurs de la colonne d'eau dans les séries chronologiques,,
