"Category","CategoryOfSequences_fr","FXY1","Title_fr","SubTitle_fr","FXY2","ElementName_fr","ElementDescription_fr","Note_fr","noteIDs","Status"
"08","Table D/08 BUFR – Catégorie 08","308001","Bouée/plate-forme — fixe","","301033","Bouée/plate-forme — fixe","Identification, type, date/heure, position (précision élevée) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308001","","","302011","Station à basse altitude","Identification, type, date/heure, position (précision élevée) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308001","","","022042","Température de la mer/de l'eau","Identification, type, date/heure, position (précision élevée) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308002","Bouée/plate-forme — fixe","","301034","Bouée/plate-forme fixe","Identification, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308002","","","302011","Station à basse altitude","Identification, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308002","","","022042","Température de la mer/de l'eau","Identification, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308003","Bouée/plate-forme — mobile","","301035","Bouée/plate-forme — mobile","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","voir note 1","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308003","","","302011","Station à basse altitude","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308003","","","022042","Température de la mer/de l'eau","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308004","Navire","","301036","Navire","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308004","","","302011","Station à basse altitude","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308004","","","022042","Température de la mer/de l'eau","Identification, déplacement, type, date/heure, position (faible précision) Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308005","","","308004","Navire","Message d'obser- vation de base de navire","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308005","","","302024","Vagues de la mer du vent et de la houle","Message d'obser- vation de base de navire","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","Paramètres facultatifs pour la Section 1 des messages de bouées","","010004","Pression","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","010061","Changement de pression en 3 heures","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","010063","Caractéristique de la tendance barométrique","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","011001","Direction du vent","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","011002","Vitesse du vent","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","012004","Température de l'air à 2 m","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","013003","Humidité relative","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308006","","","022042","Température de la mer/de l'eau","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308007","précision élevée","","301055","Identification et type de station, date/heure, position, déplacement","Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308007","","","302011","Station à basse altitude","Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308007","","","007062","Profondeur sous la surface de la mer/ de l'eau","Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308007","","","022042","Température de la mer/de l'eau","Message d'obser- vation en surface de base","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","Séquence pour la représentation des données SHIP des messages synoptiques provenant d'une station en mer","","301093","Identification du navire, déplacement, date/ heure, coordonnées horizontales et verticales","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","","","302001","Pression et variation de pression en 3 heures","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","","","302054","Données «instantanées» depuis le navire","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","observations en surface","","008002","Caractéristique verticale","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","","","302055","Givrage et glace","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","","","302057","Données océanographiques depuis le navire","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308009","","","302060","Données «pour la période» depuis le navire","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308010","Modèle pour les données TRACKOB","","001011","Indicateur d'identification du navire ou d'une station terrestre mobile","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308010","","","113000","Répétition différée de 13 descripteurs","","","","Operational"
"08","Table D/08 BUFR – Catégorie 08","308010","","","031001","Facteur de répétition différée du descripteur","","","","Operational"
