TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,DESCRIPTION de L’ÉLÉMENT
Table D/09 BUFR,3 09 001,3 01 037,(Profil vertical du vent) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position très précise)",
Table D/09 BUFR,3 09 001,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 001,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 001,3 03 011,Vent à la hauteur (géopotentielle),,
Table D/09 BUFR,3 09 002,3 01 038,(Profil vertical du vent) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position approximative)",
Table D/09 BUFR,3 09 002,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 002,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 002,3 03 011,Vent à la hauteur (géopotentielle),,
Table D/09 BUFR,3 09 003,3 01 037,(Profil vertical du vent) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position très précise)",
Table D/09 BUFR,3 09 003,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 003,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 003,3 03 012,Vent au niveau de pression,,
Table D/09 BUFR,3 09 004,3 01 038,(Profil vertical du vent) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position approximative)",
Table D/09 BUFR,3 09 004,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 004,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 004,3 03 012,Vent au niveau de pression,,
Table D/09 BUFR,3 09 005,3 01 037,(Sondage vertical avec humidité relative) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position très précise)",
Table D/09 BUFR,3 09 005,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 005,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 005,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 005,3 03 013,"Géopotentiel, température, humidité, vent au niveau de pression",,
Table D/09 BUFR,3 09 006,3 01 038,(Sondage vertical avec humidité relative) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position approximative)",
Table D/09 BUFR,3 09 006,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 006,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 006,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 006,3 03 013,"Géopotentiel, température, humidité, vent au niveau de pression",,
Table D/09 BUFR,3 09 007,3 01 037,(Sondage vertical avec données relatives au point de rosée) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position très précise)",
Table D/09 BUFR,3 09 007,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 007,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 007,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 007,3 03 014,"Géopotentiel, température, température du point de rosée, vent au niveau de pression",,
Table D/09 BUFR,3 09 008,3 01 038,(Sondage vertical avec données relatives au point de rosée) Station terrestre pour sondages verticaux,"Identification, etc. (station terrestre, position approximative)",
Table D/09 BUFR,3 09 008,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 008,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 008,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 008,3 03 014,"Géopotentiel, température, température du point de rosée, vent au niveau de pression",,
Table D/09 BUFR,3 09 011,3 01 039,(Profil vertical du vent) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 011,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 011,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 011,3 03 011,Vent à la hauteur (géopotentielle),,
Table D/09 BUFR,3 09 012,3 01 039,(Profil vertical du vent) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 012,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 012,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 012,3 03 012,Vent au niveau de pression,,
Table D/09 BUFR,3 09 013,3 01 039,(Sondage vertical avec humidité relative) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 013,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 013,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 013,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 013,3 03 013,"Géopotentiel, température, humidité, vent au niveau de pression",,
Table D/09 BUFR,3 09 014,3 01 039,(Sondage vertical avec données relatives au point de rosée) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 014,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 014,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 014,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 014,3 03 014,"Géopotentiel, température, température du point de rosée, vent au niveau de pression",,
Table D/09 BUFR,3 09 015,3 01 040,(Profil vertical du vent) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 015,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 015,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 015,3 03 011,Vent à la hauteur (géopotentielle),,
Table D/09 BUFR,3 09 016,3 01 040,(Profil vertical du vent) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 016,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 016,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 016,3 03 012,Vent au niveau de pression,,
Table D/09 BUFR,3 09 017,3 01 040,(Sondage vertical avec humidité relative) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 017,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 017,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 017,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 017,3 03 013,"Géopotentiel, température, humidité, vent au niveau de pression",,
Table D/09 BUFR,3 09 018,3 01 040,(Sondage vertical avec données relatives au point de rosée) Navire pour sondages verticaux,"Identification du navire, etc.",
Table D/09 BUFR,3 09 018,3 02 004,Information générale sur les nuages,Couche significative de nuages,
Table D/09 BUFR,3 09 018,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 018,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 018,3 03 014,"Géopotentiel, température, température du point de rosée, vent au niveau de pression",,
Table D/09 BUFR,3 09 019,3 01 031,"(Profileur du vent sondage des données sur le vent) Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,
Table D/09 BUFR,3 09 019,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 019,1 01 000,Répétition différée de 1 descripteur,,
Table D/09 BUFR,3 09 019,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 019,3 03 011,Vent à la hauteur (géopotentielle),,
Table D/09 BUFR,3 09 020,3 01 031,"(Profileur du vent coordonnées cartésiennes) Identification et type de station, date/heure, position (précision élevée), hauteur de la station",,
Table D/09 BUFR,3 09 020,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 020,1 04 000,Répétition différée de 4 descripteurs,,
Table D/09 BUFR,3 09 020,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 020,0 07 003,Géopotentiel,,
Table D/09 BUFR,3 09 020,0 11 003,Composante u,,
Table D/09 BUFR,3 09 020,0 11 004,Composante v,,
Table D/09 BUFR,3 09 020,0 11 005,Composante w,,
Table D/09 BUFR,3 09 021,3 01 001,(Données de radars profileurs de vent (produit)) Indicateur régional OMM et chiffre indicatif OMM de la station,,
Table D/09 BUFR,3 09 021,0 05 001,Latitude (précision élevée),,
Table D/09 BUFR,3 09 021,0 06 001,Longitude (précision élevée),,
Table D/09 BUFR,3 09 021,0 07 030,Altitude du sol de la station,,
Table D/09 BUFR,3 09 021,3 01 014,Période,,
Table D/09 BUFR,3 09 021,0 02 003,Type d'équipement de mesure utilisé,,
Table D/09 BUFR,3 09 021,0 02 121,Fréquence moyenne,,
Table D/09 BUFR,3 09 021,1 12 000,Répétition différée de 12 descripteurs,,
Table D/09 BUFR,3 09 021,0 31 001,Facteur de répétition différée du descripteur,,
Table D/09 BUFR,3 09 021,0 07 007,Hauteur,,
Table D/09 BUFR,3 09 021,3 01 021,Latitude/longitude (précision élevée),,
Table D/09 BUFR,3 09 021,0 11 003,Composante u,,
Table D/09 BUFR,3 09 021,0 11 110,Incertitude relative à la composante u,,
Table D/09 BUFR,3 09 021,0 11 004,Composante v,,
Table D/09 BUFR,3 09 021,0 11 111,Incertitude relative à la composante v,,
Table D/09 BUFR,3 09 021,0 33 002,Informations sur la qualité,,
Table D/09 BUFR,3 09 021,0 11 006,Composante w,,
Table D/09 BUFR,3 09 021,0 11 112,Incertitude relative à la composante w,,
Table D/09 BUFR,3 09 021,0 33 002,Informations sur la qualité,,
Table D/09 BUFR,3 09 021,0 10 071,Résolution verticale,,
Table D/09 BUFR,3 09 021,0 27 079,Largeur horizontale du volume échantillonné,,
Table D/09 BUFR,3 09 022,3 01 001,(Système de sondage radio-acoustique - température virtuelle (produit)) Indicateur régional OMM et chiffre indicatif OMM de la station,,
