TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,(Vent dérivé d'observations par satellite),
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,Traitement de l'information,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 033,Identification du centre d'origine/de production,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 034,Identification du centre secondaire d'origine/de production,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 25 061,Identification du logiciel et numéro de version,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 25 062,Identification de la base de données,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,Identification du satellite ou de l'instrument,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 007,Indicateur d'identification du satellite,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 153,Fréquence centrale du canal du satellite,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 012,Direction de déplacement de la plate-forme d'observation mobile,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,2 01 138,Changer le champ de données,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 026,Résolution en travers de la trajectoire,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 027,Résolution dans le sens de la route du satellite,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,2 01 000,Changement du champ de données,Annuler
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,Méthodes,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 028,Dimension du secteur au nadir en coordonnée x,Dimension de la case «cible»
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 029,Dimension du secteur au nadir en coordonnée y,Dimension de la case «cible»
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 161,Méthode de traitement des données du vent,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 164,Méthode de corrélation des traceurs,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 023,Méthode de calcul du vent à partir de données satellitaires,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 012,Identificateur terre/mer,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 08 013,Identificateur jour/nuit,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,,Données finales sur les vecteurs de mouvement atmosphérique,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 124,Indicateur d'identification des points de grille,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 05 001,Latitude (précision élevée),
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 06 001,Longitude (précision élevée),
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 001,Année,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 002,Mois,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 003,Jour,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 004,Heure,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 005,Minute,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 006,Seconde,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 04 086,Période ou décalage dans le temps de longue durée,Secondes
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 02 162,Méthode élargie de détermination de l'altitude,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 07 004,Pression,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 11 001,Direction du vent,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 11 002,Vitesse du vent,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 11 003,Composante u,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 11 004,Composante v,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 12 001,Température/température de l'air,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 20 014,Hauteur du sommet des nuages,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 07 024,Distance zénithale du satellite,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,0 01 023,Numéro de la séquence d'observations,
Catégorie 10 — Séquences correspondant à des données de sondages verticaux (données satellitaires),3 10 077,1 04 000,Répétition différée de 4 descripteurs,
