TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT,NOM de L’ÉLÉMENT
Table D/02 BUFR,3 02 001,0 10 004,(Pression et variation de pression en 3 heures) Pression,Pression au niveau de la station,
Table D/02 BUFR,3 02 001,0 10 051,Pression ramenée au niveau moyen de la mer,,
Table D/02 BUFR,3 02 001,0 10 061,Variation de pression en 3 heures,,
Table D/02 BUFR,3 02 001,0 10 063,Caractéristique de la tendance barométrique,,
Table D/02 BUFR,3 02 002,0 10 004,(Station à haute altitude) Pression,Pression au niveau de la station,
Table D/02 BUFR,3 02 002,0 07 004,Pression,Niveau barique,
Table D/02 BUFR,3 02 002,0 10 003,Géopotentiel,Niveau barique,
Table D/02 BUFR,3 02 002,0 10 061,Variation de pression en 3 heures,,
Table D/02 BUFR,3 02 002,0 10 063,Caractéristique de la tendance barométrique,,
Table D/02 BUFR,3 02 003,0 11 011,"(Vent, température, humidité, visibilité, temps) Direction du vent à 10 m",,
Table D/02 BUFR,3 02 003,0 11 012,Vitesse du vent à 10 m,,
Table D/02 BUFR,3 02 003,0 12 004,Température de l'air à 2 m,,
Table D/02 BUFR,3 02 003,0 12 006,Température du point de rosée à 2 m,,
Table D/02 BUFR,3 02 003,0 13 003,Humidité relative,,
Table D/02 BUFR,3 02 003,0 20 001,Visibilité horizontale,,
Table D/02 BUFR,3 02 003,0 20 003,Temps présent,,
Table D/02 BUFR,3 02 003,0 20 004,Temps passé (1),,
Table D/02 BUFR,3 02 003,0 20 005,Temps passé (2),,
Table D/02 BUFR,3 02 004,0 20 010,(Information générale sur les nuages) Nébulosité (totale),,
Table D/02 BUFR,3 02 004,0 08 002,Caractéristique verticale (observations en surface),,
Table D/02 BUFR,3 02 004,0 20 011,Nébulosité,,
Table D/02 BUFR,3 02 004,0 20 013,Hauteur de la base des nuages,,
Table D/02 BUFR,3 02 004,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 004,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 004,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 005,0 08 002,(Couche nuageuse) Caractéristique verticale (observations en surface),,
Table D/02 BUFR,3 02 005,0 20 011,Nébulosité,,
Table D/02 BUFR,3 02 005,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 005,0 20 013,Hauteur de la base des nuages,,
Table D/02 BUFR,3 02 006,0 10 004,(Pression et variation de pression en 24 heures) Pression,Pression au niveau de la station,
Table D/02 BUFR,3 02 006,0 10 051,Pression ramenée au niveau moyen de la mer,,
Table D/02 BUFR,3 02 006,0 10 062,Variation de pression en 24 heures,,
Table D/02 BUFR,3 02 006,0 10 063,Caractéristique de la tendance barométrique,,
Table D/02 BUFR,3 02 011,3 02 001,(Station à basse altitude) Pression et variation de pression en 3 heures,Couche significative de nuages,
Table D/02 BUFR,3 02 011,3 02 003,"Vent, température, humidité, visibilité, temps",,
Table D/02 BUFR,3 02 011,3 02 004,Information générale sur les nuages,,
Table D/02 BUFR,3 02 012,3 02 002,(Station à haute altitude) Station à haute altitude,Pression et variation de pression,
Table D/02 BUFR,3 02 012,3 02 003,"Vent, température, humidité, visibilité, temps",Couche significative de nuages,
Table D/02 BUFR,3 02 012,3 02 004,Information générale sur les nuages,,
Table D/02 BUFR,3 02 013,3 02 006,(Message d'observation en surface de base) Pression et variation de pression en 24 heures,,
Table D/02 BUFR,3 02 013,3 02 003,"Vent, température, humidité, visibilité, temps",,
Table D/02 BUFR,3 02 013,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 013,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 013,3 02 005,Couche nuageuse,,
Table D/02 BUFR,3 02 021,0 22 001,(Vagues) Direction des vagues,,
Table D/02 BUFR,3 02 021,0 22 011,Période des vagues,,
Table D/02 BUFR,3 02 021,0 22 021,Hauteur des vagues,,
Table D/02 BUFR,3 02 022,0 22 002,(Vagues de la mer du vent) Direction des vagues de la mer du vent,,
Table D/02 BUFR,3 02 022,0 22 012,Période des vagues de la mer du vent,,
Table D/02 BUFR,3 02 022,0 22 022,Hauteur des vagues de la mer du vent,,
Table D/02 BUFR,3 02 023,0 22 003,(Vagues de la houle) Direction des vagues de la houle,,
Table D/02 BUFR,3 02 023,0 22 013,Période des vagues de la houle,,
Table D/02 BUFR,3 02 023,0 22 023,Hauteur des vagues de la houle,,
Table D/02 BUFR,3 02 024,3 02 022,(Vagues de la mer du vent et de la houle) Vagues de la mer du vent,2 systèmes de houle,
Table D/02 BUFR,3 02 024,1 01 002,Répéter 1 descripteur 2 fois,,
Table D/02 BUFR,3 02 024,3 02 023,Vagues de la houle,,
Table D/02 BUFR,3 02 031,3 02 001,(Information sur la pression) Pression et variation de pression en 3 heures,Pression isobare standard,
Table D/02 BUFR,3 02 031,0 10 062,Variation de pression en 24 heures,,
Table D/02 BUFR,3 02 031,0 07 004,Pression,,
Table D/02 BUFR,3 02 031,0 10 009,Hauteur géopotentielle,,
Table D/02 BUFR,3 02 032,0 07 032,(Données sur la température et l'humidité) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la température et de l'humidité,
Table D/02 BUFR,3 02 032,0 12 101,Température/température de l'air,Échelle: 2,
Table D/02 BUFR,3 02 032,0 12 103,Point de rosée,Échelle: 2,
Table D/02 BUFR,3 02 032,0 13 003,Humidité relative,,
Table D/02 BUFR,3 02 033,0 07 032,(Données sur la visibilité) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la visibilité,
Table D/02 BUFR,3 02 033,0 20 001,Visibilité horizontale,,
Table D/02 BUFR,3 02 034,0 07 032,(Précipitations sur les 24 heures écoulées) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure des précipitations,
Table D/02 BUFR,3 02 034,0 13 023,Quantité totale de précipitations au cours des 24 heures précédentes,,
Table D/02 BUFR,3 02 035,3 02 032,(Données synoptiques de base «instantanées») Données sur la température et l'humidité,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 035,3 02 033,Données sur la visibilité,,
Table D/02 BUFR,3 02 035,3 02 034,Précipitations sur les 24 heures écoulées,,
Table D/02 BUFR,3 02 035,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/02 BUFR,3 02 035,3 02 004,Information générale sur les nuages,Couche ou masse de nuages unique,
Table D/02 BUFR,3 02 035,1 01 000,Répétition différée de 1 descripteur,,
Table D/02 BUFR,3 02 035,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 035,3 02 005,Couche nuageuse,,
Table D/02 BUFR,3 02 036,1 05 000,(Nuages dont la base se situe sous le niveau de la station) Répétition différée de 5 descripteurs,,
Table D/02 BUFR,3 02 036,0 31 001,Facteur de répétition différée du descripteur,,
Table D/02 BUFR,3 02 036,0 08 002,Caractéristique verticale (observations en surface),,
Table D/02 BUFR,3 02 036,0 20 011,Nébulosité,,
Table D/02 BUFR,3 02 036,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 036,0 20 014,Hauteur du sommet des nuages,,
Table D/02 BUFR,3 02 036,0 20 017,Description du sommet des nuages,,
Table D/02 BUFR,3 02 037,0 20 062,"(État du sol, hauteur de neige, température minimale au sol) État du sol (recouvert ou non d'une couche de neige)",,
Table D/02 BUFR,3 02 037,0 13 013,Hauteur totale de la couche de neige,Échelle: 2,
Table D/02 BUFR,3 02 037,0 12 113,"Température minimale au sol, au cours des 12 heures précédentes",,
Table D/02 BUFR,3 02 038,0 20 003,(Temps présent et temps passé) Temps présent,Heures,
Table D/02 BUFR,3 02 038,0 04 024,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 038,0 20 004,Temps passé (1),,
Table D/02 BUFR,3 02 038,0 20 005,Temps passé (2),,
Table D/02 BUFR,3 02 039,0 04 024,(Données sur l'insolation (sur une période d'une heure et de 24 heures)) Période ou décalage dans le temps,Heures,
Table D/02 BUFR,3 02 039,0 14 031,Insolation totale,,
Table D/02 BUFR,3 02 040,0 07 032,(Mesure des précipitations) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure des précipitations,
Table D/02 BUFR,3 02 040,1 02 002,Répéter 2 descripteurs 2 fois,Heures,
Table D/02 BUFR,3 02 040,0 04 024,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 040,0 13 011,Précipitations totales/valeur totale de l'équivalent en eau,,
Table D/02 BUFR,3 02 041,0 07 032,(Données sur les températures extrêmes) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure de la température,
Table D/02 BUFR,3 02 041,0 04 024,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 041,0 04 024,Période ou décalage dans le temps (voir notes 1 et 2),Échelle: 2,
Table D/02 BUFR,3 02 041,0 12 111,"Température maximale, à une hauteur et sur une période déterminées",,
Table D/02 BUFR,3 02 041,0 04 024,Période ou décalage dans le temps,Échelle: 2,
Table D/02 BUFR,3 02 041,0 04 024,Période ou décalage dans le temps (voir note 2),,
Table D/02 BUFR,3 02 041,0 12 112,"Température minimale, à une hauteur et sur une période déterminées",,
Table D/02 BUFR,3 02 042,0 07 032,(Données sur le vent) Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),Mesure du vent,
Table D/02 BUFR,3 02 042,0 02 002,Type d'instrument pour la mesure du vent,,
Table D/02 BUFR,3 02 042,0 08 021,Caractéristique temporelle,= 2 Moyenne sur une certaine période = -10 minutes ou nombre de minutes après un changement significatif du vent,
Table D/02 BUFR,3 02 042,0 04 025,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 042,0 11 001,Direction du vent,Mis à valeur manquante,
Table D/02 BUFR,3 02 042,0 11 002,Vitesse du vent,,
Table D/02 BUFR,3 02 042,0 08 021,Caractéristique temporelle,,
Table D/02 BUFR,3 02 042,1 03 002,Répéter 3 descripteurs 2 fois,Minutes,
Table D/02 BUFR,3 02 042,0 04 025,Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 042,0 11 043,Direction de la rafale maximale,,
Table D/02 BUFR,3 02 042,0 11 041,Vitesse de la rafale maximale,,
Table D/02 BUFR,3 02 043,3 02 038,(Données synoptiques de base «pour la période») Temps présent et temps passé,,
Table D/02 BUFR,3 02 043,1 01 002,Répéter 1 descripteur 2 fois,,
Table D/02 BUFR,3 02 043,3 02 039,Données sur l'insolation (sur une période d'une heure et de 24 heures),,
Table D/02 BUFR,3 02 043,3 02 040,Mesure des précipitations,,
Table D/02 BUFR,3 02 043,3 02 041,Données sur les températures extrêmes,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 043,3 02 042,Données sur le vent,,
Table D/02 BUFR,3 02 043,0 07 032,Hauteur du capteur au-dessus du sol (ou du pont sur une plate-forme marine),,
Table D/02 BUFR,3 02 044,0 04 024,(Données sur l'évaporation) Période ou décalage dans le temps,Heures,
Table D/02 BUFR,3 02 044,0 02 004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,,
Table D/02 BUFR,3 02 044,0 13 033,Évaporation/évapotranspiration,,
Table D/02 BUFR,3 02 045,0 04 024,(Données sur le rayonnement (sur une période d'une heure et de 24 heures)) Période ou décalage dans le temps,Heures,
Table D/02 BUFR,3 02 045,0 14 002,"Rayonnement de grande longueur d'onde, intégré sur une période déterminée",,
Table D/02 BUFR,3 02 045,0 14 004,"Rayonnement de courte longueur d'onde, intégré sur une période déterminée",,
Table D/02 BUFR,3 02 045,0 14 016,"Bilan du rayonnement, intégré sur une période déterminée",,
Table D/02 BUFR,3 02 045,0 14 028,"Rayonnement solaire global (précision élevée), intégré sur une période déterminée",,
Table D/02 BUFR,3 02 045,0 14 029,"Rayonnement solaire diffus (précision élevée), intégré sur une période déterminée",,
Table D/02 BUFR,3 02 045,0 14 030,"Rayonnement solaire direct (précision élevée), intégré sur une période déterminée",,
Table D/02 BUFR,3 02 046,0 04 024,(Variation de température) Période ou décalage dans le temps,,
Table D/02 BUFR,3 02 046,0 04 024,Période ou décalage dans le temps (voir note 3),,
Table D/02 BUFR,3 02 046,0 12 049,Variation de température sur une période déterminée,,
Table D/02 BUFR,3 02 047,1 02 003,(Direction de la dérive des nuages) Répéter 2 descripteurs 3 fois,,
Table D/02 BUFR,3 02 047,0 08 002,Caractéristique verticale (observations en surface),,
Table D/02 BUFR,3 02 047,0 20 054,Direction vraie d'où viennent ou dans laquelle sont observés le phénomène indiqué ou les nuages,,
Table D/02 BUFR,3 02 048,0 05 021,(Direction et hauteur des nuages) Direction ou azimut,Hauteur angulaire,
Table D/02 BUFR,3 02 048,0 07 021,,,Hauteur
Table D/02 BUFR,3 02 048,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 048,0 05 021,Direction ou azimut,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 048,0 07 021,Hauteur,Mis à valeur manquante (annuler),
Table D/02 BUFR,3 02 049,0 08 002,(Données sur les nuages transmises avec les sondages verticaux) Caractéristique verticale (observations en surface),Nuages de l'étage inférieur ou moyen Nh,
Table D/02 BUFR,3 02 049,0 20 011,Nébulosité,,
Table D/02 BUFR,3 02 049,0 20 013,Hauteur de la base des nuages,h,
Table D/02 BUFR,3 02 049,0 20 012,Type de nuage,Nuages de l'étage inférieur CL,
Table D/02 BUFR,3 02 049,0 20 012,Type de nuage,Nuages de l'étage moyen CM,
Table D/02 BUFR,3 02 049,0 20 012,Type de nuage,Nuages de l'étage supérieur CH,
Table D/02 BUFR,3 02 049,0 08 002,Caractéristique verticale (observations en surface),Mis à valeur manquante,
Table D/02 BUFR,3 02 050,0 08 041,(Radiosondage — observation en surface) Caractéristique des données,= 5 Décalage entre l'observation de surface et le point de lâcher,
Table D/02 BUFR,3 02 050,0 05 021,Direction ou azimut,,
Table D/02 BUFR,3 02 050,0 07 005,Incrément de hauteur,,
Table D/02 BUFR,3 02 050,2 02 130,Changer d'échelle,,
Table D/02 BUFR,3 02 050,0 06 021,Distance,,
Table D/02 BUFR,3 02 050,2 02 000,Changement d'échelle,Annuler,
Table D/02 BUFR,3 02 050,0 08 041,Caractéristique des données,= 4 Observation de surface,
Table D/02 BUFR,3 02 050,2 01 131,Changer le champ de données,,
Table D/02 BUFR,3 02 050,2 02 129,Changer d'échelle,,
Table D/02 BUFR,3 02 050,0 02 115,Type d'équipement d'observation en surface,,
Table D/02 BUFR,3 02 050,0 10 004,Pression,,
Table D/02 BUFR,3 02 050,0 02 115,Type d'équipement d'observation en surface,,
Table D/02 BUFR,3 02 050,0 13 003,Humidité relative,Annuler,
Table D/02 BUFR,3 02 050,2 02 000,Changement d'échelle,Annuler,
Table D/02 BUFR,3 02 050,2 01 000,Changement du champ de données,,
Table D/02 BUFR,3 02 050,0 02 115,Type d'équipement d'observation en surface,,
Table D/02 BUFR,3 02 050,0 11 001,Direction du vent,,
Table D/02 BUFR,3 02 050,0 11 002,Vitesse du vent,,
Table D/02 BUFR,3 02 050,0 02 115,Type d'équipement d'observation en surface,,
Table D/02 BUFR,3 02 050,1 02 002,Répéter 2 descripteurs 2 fois,,
Table D/02 BUFR,3 02 050,0 12 101,Température/température de l'air,,
Table D/02 BUFR,3 02 050,0 04 024,Période ou décalage dans le temps,Heures,
Table D/02 BUFR,3 02 050,0 02 115,Type d'équipement d'observation en surface,,
Table D/02 BUFR,3 02 050,0 12 103,Point de rosée,,
Table D/02 BUFR,3 02 050,0 12 102,Température du thermomètre mouillé,,
Table D/02 BUFR,3 02 050,1 01 003,Répéter 1 descripteur 3 fois,,
Table D/02 BUFR,3 02 050,0 20 012,Type de nuage,,
Table D/02 BUFR,3 02 050,0 20 011,Nébulosité,,
Table D/02 BUFR,3 02 050,0 20 013,Hauteur de la base des nuages,,
Table D/02 BUFR,3 02 050,1 01 002,Répéter 1 descripteur 2 fois,,
Table D/02 BUFR,3 02 050,0 20 003,Temps présent,,
Table D/02 BUFR,3 02 051,0 10 004,Pression,Position verticale,
Table D/02 BUFR,3 02 051,0 10 051,Pression ramenée au niveau moyen de la mer,,
Table D/02 BUFR,3 02 051,0 07 004,Pression,,
Table D/02 BUFR,3 02 051,0 10 003,Géopotentiel,,
Table D/02 BUFR,3 02 051,0 12 004,Température de l'air à 2 m,,
Table D/02 BUFR,3 02 051,0 12 051,Écart type de la température,,
Table D/02 BUFR,3 02 051,0 12 016,"Température maximale à 2 m, au cours des 24 heures précédentes",,
Table D/02 BUFR,3 02 051,0 12 017,"Température minimale à 2 m, au cours des 24 heures précédentes",,
Table D/02 BUFR,3 02 051,0 13 004,Tension de vapeur,,
Table D/02 BUFR,3 02 051,1 02 004,Répéter 2 descripteurs 4 fois,,
