TABLE_NAME,DESCRIPTEUR,SÉQUENCE DE DESCRIPTEURS,NOM DE L’ÉLÉMENT,DESCRIPTION DE L’ÉLÉMENT
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 001,3 01 025,"Latitude/longitude (faible précision), jour/heure",
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 001,0 24 011,Dose,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 003,3 01 026,"Latitude/longitude (précision élevée), période (jour, heure, minute)",
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 003,0 24 005,Masse isotopique,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 003,0 24 004,Nom de l'élément,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 003,0 24 021,"Concentration dans l'air (du type d'isotope désigné, y compris la dose bêta brute)",
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,3 01 025,"Latitude/longitude (faible précision), jour/heure",
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,0 04 023,Période ou décalage dans le temps,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,0 13 011,Précipitations totales/valeur totale de l'équivalent en eau,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,0 24 005,Masse isotopique,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,0 24 004,Nom de l'élément,
Catégorie 18 – Séquences correspondant à des messages d'observation radiologique,3 18 004,0 24 022,Concentration dans les précipitations (du type d'isotope désigné),
