FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
0 03 001,Tipo de estación de superficie,0,Estación terrestre (red sinóptica),,,,,
0 03 001,Tipo de estación de superficie,1,Estación de aguas poco profundas (fijadas al suelo marino/lacustre),,,,,
0 03 001,Tipo de estación de superficie,2,Buque,,,,,
0 03 001,Tipo de estación de superficie,3,Equipo de perforación/plataforma,,,,,
0 03 001,Tipo de estación de superficie,4,Boya fondeada,,,,,
0 03 001,Tipo de estación de superficie,5,Boya libre (o boya a la deriva),,,,,
0 03 001,Tipo de estación de superficie,6,Boya de hielo,,,,,
0 03 001,Tipo de estación de superficie,7,Estación terrestre (red local),,,,,
0 03 001,Tipo de estación de superficie,8,Vehículo terrestre,,,,,
0 03 001,Tipo de estación de superficie,9,Vehículo marino autónomo,,,,,
0 03 001,Tipo de estación de superficie,10,Sensor colocado en animal marino,,,,,
0 03 001,Tipo de estación de superficie,11-30,Reservadas para uso futuro,,,,,
0 03 001,Tipo de estación de superficie,31,Valor faltante,,,,,
0 03 003,Abrigo del termómetro/higrómetro,0,Garita,,,,,
0 03 003,Abrigo del termómetro/higrómetro,1,Honda/noria,,,,,
0 03 003,Abrigo del termómetro/higrómetro,2,Sin garita,,,,,
0 03 003,Abrigo del termómetro/higrómetro,3,Protección contra la radiación,,,,,
0 03 003,Abrigo del termómetro/higrómetro,4,"Aspirado (p. ej., Assmann)",,,,,
0 03 003,Abrigo del termómetro/higrómetro,5,Otro abrigo,,,,,
0 03 003,Abrigo del termómetro/higrómetro,6,Portátil,,,,,
0 03 003,Abrigo del termómetro/higrómetro,7-14,Reservadas para uso futuro,,,,,
0 03 003,Abrigo del termómetro/higrómetro,15,Valor faltante,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,0,Garita de Stevenson,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,1,Garita de Stevenson marina,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,2,Protección de placas de sección cilíndrica,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,3,Tubo concéntrico,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,4,Protección de sección rectangular,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,5,Protección de sección cuadrada,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,6,Protección de sección triangular,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,7,Tejado abierto a simple vertiente,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,8,Tejado abierto en forma de V invertida,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,9,"Integrado (p. ej., espejo enfriado)",,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,10-14,Reservadas para uso futuro,,,,,
0 03 004,Tipo de garita/abrigo/protección contra la radiación,15,Valor faltante,,,,,
0 03 008,Garita o protección ventilada artificialmente,0,Ventilación natural en uso,,,,,
0 03 008,Garita o protección ventilada artificialmente,1,Aspiración artificial en uso: flujo constante en el momento de la lectura,,,,,
0 03 008,Garita o protección ventilada artificialmente,2,Aspiración artificial en uso: flujo variable en el momento de la lectura,,,,,
0 03 008,Garita o protección ventilada artificialmente,3-6,Reservadas,,,,,
0 03 008,Garita o protección ventilada artificialmente,7,Valor faltante,,,,,
0 03 010,Método de medición de la corriente del mar/agua,0,Reservada,,,,,
0 03 010,Método de medición de la corriente del mar/agua,1*,ADCP**,,,,,
0 03 010,Método de medición de la corriente del mar/agua,2,GEK (Electrocinetógrafo geomagnético),,,,,
0 03 010,Método de medición de la corriente del mar/agua,3,Dirección y deriva del buque determinadas mediante marcaciones efectuadas a intervalos de 3 a 6 horas,,,,,
0 03 010,Método de medición de la corriente del mar/agua,4,"Dirección y deriva del buque determinadas mediante marcaciones efectuadas a intervalos superiores a 6 horas, pero inferiores a 12 horas",,,,,
0 03 010,Método de medición de la corriente del mar/agua,5,Deriva de la boya,,,,,
0 03 010,Método de medición de la corriente del mar/agua,6,ADCP,,,,,
0 03 010,Método de medición de la corriente del mar/agua,7,Modo de localización del fondo del océano del ADCP,,,,,
0 03 010,Método de medición de la corriente del mar/agua,8,Sensor electromagnético,,,,,
0 03 010,Método de medición de la corriente del mar/agua,9,Rotor y paleta,,,,,
0 03 010,Método de medición de la corriente del mar/agua,10,ADCP descendido,,,,,
0 03 010,Método de medición de la corriente del mar/agua,11-14,Reservadas,,,,,
0 03 010,Método de medición de la corriente del mar/agua,15,Valor faltante,,,,,
0 03 011,Método de cálculo de la profundidad,0,Profundidad calculada mediante la ecuación de velocidad de caída,,,,,
0 03 011,Método de cálculo de la profundidad,1,Profundidad calculada mediante la presión de agua/ecuación de estado,,,,,
0 03 011,Método de cálculo de la profundidad,2,Reservada,,,,,
0 03 011,Método de cálculo de la profundidad,3,Valor faltante,,,,,
0 03 012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,0,Optodo de oxígeno de Aanderaa,,,,,
0 03 012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,1,Botella de Winkler,,,,,
0 03 012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,2-14,Reservadas,,,,,
0 03 012,Tipo de instrumento/sensor para la medición del oxígeno disuelto,15,Valor faltante,,,,,
0 03 016,Posición de los sensores de carretera,0,Vía rápida entre las huellas de rodada,,,,,
0 03 016,Posición de los sensores de carretera,1,Vía rápida entre las huellas de rodada en el sentido opuestor,,,,,
0 03 016,Posición de los sensores de carretera,2,Vía rápida en las huellas de rodada,,,,,
0 03 016,Posición de los sensores de carretera,3,Vía rápida en las huellas de rodada en el sentido opuesto,,,,,
0 03 016,Posición de los sensores de carretera,4,Vía lenta entre las huellas de rodada,,,,,
0 03 016,Posición de los sensores de carretera,5,Vía lenta entre las huellas de rodada en el sentido opuesto,,,,,
0 03 016,Posición de los sensores de carretera,6,Vía lenta en las huellas de rodada,,,,,
0 03 016,Posición de los sensores de carretera,7,Vía lenta en las huellas de rodada en el sentido opuesto,,,,,
0 03 016,Posición de los sensores de carretera,8-14,Reservadas,,,,,
0 03 016,Posición de los sensores de carretera,15,Valor faltante,,,,,
0 03 017,Tipo de estación ampliado,,Automática,,,,,
0 03 017,Tipo de estación ampliado,,Dotada de personal,,,,,
0 03 017,Tipo de estación ampliado,,Activada por eventos,,,,,
0 03 017,Tipo de estación ampliado,,Período de tiempo más largo que la norma,,,,,
0 03 017,Tipo de estación ampliado,,Reservado,,,,,
0 03 017,Tipo de estación ampliado,,Valor faltante,,,,,
0 03 018,Tipo de carretera,0,Carril libre sin otra información,,,,,
0 03 018,Tipo de carretera,1,"Carril libre, terraplén",,,,,
0 03 018,Tipo de carretera,2,"Carril libre, llano en relación con los alrededores",,,,,
0 03 018,Tipo de carretera,3,"Carril libre, cueca(s) fluvial(es) en las inmediaciones",,,,,
0 03 018,Tipo de carretera,4,"Carril libre, bosque",,,,,
0 03 018,Tipo de carretera,5,"Carril libre, grieta",,,,,
0 03 018,Tipo de carretera,6,"Carril libre, en lo alto de la colina",,,,,
0 03 018,Tipo de carretera,7,"Carril libre, en lo alto de la colina, bosque",,,,,
0 03 018,Tipo de carretera,8,"Carril libre, en el valle",,,,,
0 03 018,Tipo de carretera,9,"Carril libre, en el valle, bosque",,,,,
0 03 018,Tipo de carretera,10,"Carril libre, inclinación hacia el norte",,,,,
0 03 018,Tipo de carretera,11,"Carril libre, inclinación hacia el norte, bosque",,,,,
0 03 018,Tipo de carretera,12,"Carril libre, inclinación hacia el sur",,,,,
0 03 018,Tipo de carretera,13,"Carril libre, inclinación hacia el sur, bosque",,,,,
0 03 018,Tipo de carretera,14-19,Reservadas,,,,,
0 03 018,Tipo de carretera,20,"Puente, sin otra información",,,,,
0 03 018,Tipo de carretera,21,Puente a través de un valle en una zona urbana,,,,,
0 03 018,Tipo de carretera,22,Puente a través de un valle con bosque/praderas/campos,,,,,
0 03 018,Tipo de carretera,23,Puente a través de una calle/un carril,,,,,
0 03 018,Tipo de carretera,24,Puente a través de un río/canal de tamaño grande,,,,,
0 03 018,Tipo de carretera,25,Puente a través de un río/canal de tamaño medio,,,,,
0 03 018,Tipo de carretera,26,Puente a través de un arroyo/canal de carga de tamaño pequeño,,,,,
0 03 018,Tipo de carretera,27-30,Reservadas,,,,,
0 03 018,Tipo de carretera,31,Valor faltante,,,,,
0 03 019,Tipo de construcción,0,Asfalto,,,,,
0 03 019,Tipo de construcción,1,Hormigón,,,,,
0 03 019,Tipo de construcción,2,Construcción de hormigón,,,,,
0 03 019,Tipo de construcción,3,Construcción con vigas de acero,,,,,
0 03 019,Tipo de construcción,4,Puente con vigas cajón,,,,,
0 03 019,Tipo de construcción,5,Tablero ortotrópico,,,,,
0 03 019,Tipo de construcción,6,Asfalto drenante,,,,,
0 03 019,Tipo de construcción,7-14,Reservadas,,,,,
0 03 019,Tipo de construcción,15,Valor faltante,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,0,Madera,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,1,Aleación metálica,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,2,Plástico/plástico reforzado con fibra de vidrio,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,3,Caña/hierba/hoja,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,4-6,Reservadas para uso futuro,,,,,
0 03 020,Material del abrigo del termómetro/higrómetro,7,Valor faltante,,,,,
0 03 021,Calefacción del higrómetro,0,Sin calefacción,,,,,
0 03 021,Calefacción del higrómetro,1,Con calefacción,,,,,
0 03 021,Calefacción del higrómetro,2,No aplicable,,,,,
0 03 021,Calefacción del higrómetro,3,Valor faltante,,,,,
0 03 022,Propietario del instrumento,0,Servicio Meteorológico o Hidrometeorológico Nacional,,,,,
0 03 022,Propietario del instrumento,1,Otro,,,,,
0 03 022,Propietario del instrumento,2,Instituto de normalización,,,,,
0 03 022,Propietario del instrumento,3-6,Reservadas para uso futuro,,,,,
0 03 022,Propietario del instrumento,7,Valor faltante,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,0,Persianas en sección v simple,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,1,Persianas superpuestas,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,2,Persianas en sección v doble,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,3,Persianas no superpuestas,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,4,"Ventilado, sin persianas",,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,5,No aplicable,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,6,Reservadas para uso futuro,,,,,
0 03 023,Configuración de las persianas del abrigo del termómetro/higrómetro,7,Valor faltante,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Solo (radiosonda individual),,,,,
0 03 027,Tipo de mecanismo de vuelo,,Bloque,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Barra,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Cruz,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Mecanismo en T,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Mecanismo en doble T,,,,,
0 03 027,Tipo de mecanismo de vuelo,,Complejo,,,,,
