ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,025 001,Distancia de la puerta de integración,m,-1,0,6,m,-1,2,,,
,,025 002,Número medio de puertas,Numérica,0,0,4,Numérica,0,2,,,
,,025 003,Número de impulsos integrados,Numérica,0,0,8,Numérica,0,3,,,
,,025 004,Proceso de datos sobre ecos,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 005,Integración de los ecos,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 006,Conversión Z - R,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,025 007,Factor de conversión Z - R,Numérica,0,0,12,Numérica,0,4,,,
,,025 008,Exponente de conversión Z -R,Numérica,2,0,9,Numérica,2,3,,,
,,025 009,Método de calibración,Tabla de banderines,0,0,4,Tabla de banderines,0,2,(véase la nota 3),,
,,025 010,Tratamiento de los ecos parásitos,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 011,Corrección de los ecos de suelo (filtrado),Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 012,Corrección de la atenuación del alcance,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 013,Corrección de la banda brillante,Tabla de banderines,0,0,2,Tabla de banderines,0,1,,,
,,025 014,Corte azimutal de ecos parásitos,Numérica,0,0,12,Numérica,0,4,(véase la nota 1),,
,,025 015,Corrección de la atenuación por el radomo,Tabla de banderines,0,0,2,Tabla de banderines,0,1,,,
,,025 016,Corrección de la atenuación en cielo despejado,dB m-1,5,0,6,dB m-1,5,2,,,
,,025 017,Corrección de la atenuación por las precipitaciones,Tabla de banderines,0,0,2,Tabla de banderines,0,1,,,
,,025 018,Ley de A a Z para el factor de atenuación,Numérica,7,0,6,Numérica,7,2,,,
,,025 019,Ley de A a Z para el exponente de atenuación,Numérica,2,0,7,Numérica,2,3,,,
,,025 020,Estimación de la velocidad media,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 021,Refuerzo del cálculo del viento,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,025 022,Banderín de rechazo GHRSST*,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 023,Banderín de confianza GHRSST,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 024,Calidad de datos GHRSST,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 025,Voltaje de la batería,V,1,0,9,V,1,3,,,
,,025 026,Voltaje de la batería (intervalo amplio),V,1,0,12,V,1,4,,,
,,025 028,Parámetro definido por el operador o fabricante,Numérica,1,-16384,15,Numérica,1,5,,,
,,025 029,Método de calibración,Tabla de banderines,0,0,6,Tabla de banderines,0,2,(véase la nota 3),,
,,025 030,Media móvil de la temperatura en la superficie del mar,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 031,Método de adelgazamiento del perfil vertical generado por predicción numérica del tiempo,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,025 032,Información sobre el modo del perfilador del viento,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,(véase la nota 2),,
,,025 033,Información sobre el submodo del perfilador del viento,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,(véase la nota 2),,
,,025 034,Resultados de las pruebas de control de calidad del perfilador del viento,Tabla de banderines,0,0,4,Tabla de banderines,0,2,(véase la nota 2),,
,,025 035,Método de decisión para la polaridad,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,(véase la nota 5),,
,,025 036,Método de ubicación de parásitos atmosféricos,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 037,Error sistemático de TSM,K,2,-127,8,K,2,3,,,
,,025 038,Diferencia entre TSM y análisis,K,1,-127,8,K,1,3,,,
,,025 040,Producto de viento obtenido por el trazador de CO2,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 041,Método de información sobre la dirección de la plataforma móvil,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 042,Método de información sobre la velocidad de la plataforma móvil,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 043,Intervalo de muestreo de las olas (tiempo),s,4,0,15,s,4,5,,,
,,025 044,Intervalo de muestreo de las olas (espacio),m,2,0,14,m,2,5,,,
,,025 045,Combinación de canales de la sonda HIRS,Tabla de banderines,0,0,21,Tabla de banderines,0,7,,,
,,025 046,Combinación de canales de la sonda MSU,Tabla de banderines,0,0,5,Tabla de banderines,0,2,,,
,,025 047,Combinación de canales de la sonda SSU,Tabla de banderines,0,0,4,Tabla de banderines,0,2,,,
,,025 048,Combinación de canales de la sonda AMSU-A,Tabla de banderines,0,0,16,Tabla de banderines,0,6,,,
,,025 049,Combinación de canales de la sonda AMSU-B,Tabla de banderines,0,0,6,Tabla de banderines,0,2,,,
,,025 050,Índice del componente principal,Numérica,4,-131072,18,Numérica,4,6,,,
,,025 051,Combinación de los canales del radiómetro AVHRR,Tabla de banderines,0,0,7,Tabla de banderines,0,3,,,
,,025 052,Log-10 del ajuste a los datos normalizado de los principales componentes,Numérica,4,0,15,Numérica,4,5,,,
,,025 053,Calidad de la observación,Tabla de banderines,0,0,12,Tabla de banderines,0,4,,,
,,025 054,Número de identificación de subtrama SSMIS,Numérica,0,0,5,Numérica,0,2,,,
,,025 055,Mantenimiento de multiplexor,K,2,0,16,K,2,5,,,
,,025 060,Identificación del software,Numérica,0,0,14,Numérica,0,5,(véase la nota 2),,
,,025 061,Identificación y número de versión del software,CCITT IA5,0,0,96,Carácter,0,12,,,
,,025 062,Identificación de la base de datos,Numérica,0,0,14,Numérica,0,5,,,
,,025 063,Procesador central o identificador del sistema,Tabla de cifrado,0,0,8,Tabla de cifrado,0,3,(véase la nota 6),,
,,025 065,Corrección de la orientación (azimut),°,2,-1000,11,°,2,4,,,
,,025 066,Corrección de la orientación (elevación),°,2,-1000,11,°,2,4,,,
,,025 067,Corrección de la presión del punto de lanzamiento de la radiosonda,Pa,0,-8000,14,Pa,0,4,,,
,,025 068,Número de recálculos de archivo,Numérica,0,0,7,Numérica,0,3,,,
,,025 069,Correcciones de la presión del nivel de vuelo,Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,025 070,Número de tramas principales,Numérica,0,0,4,Numérica,0,2,,,
,,025 071,Número de tramas,Numérica,0,0,5,Numérica,0,2,,,
,,025 075,Número de la versión de las correcciones a la antena del satélite,Numérica,0,0,5,Numérica,0,2,,,
,,025 076,Log-10 (del número de onda central de temperatura-radiancia) para ATOVS,log (m-1),8,0,30,log (m-1),8,10,,,
,,025 077,Coeficiente 1 de corrección del ancho de banda,Numérica,5,-100000,18,Numérica,5,7,,,
,,025 078,Coeficiente 2 de corrección del ancho de banda,Numérica,5,0,17,Numérica,5,6,,,
,,025 079,Irradiancia solar filtrada de la radiancia del albedo para ATOVS,W m-2,4,0,24,W m-2,4,8,,,
,,025 080,Anchura equivalente del filtro de la radiancia del albedo para ATOVS,m,10,0,14,m,10,5,,,
,,025 081,Ángulo de incidencia,°,3,0,17,°,3,6,,,
,,025 082,Ángulo azimutal,°,3,0,19,°,3,6,,,
,,025 083,Ángulo rotacional de Faraday,°,3,0,19,°,3,6,,,
,,025 084,Ángulo rotacional geométrico,°,5,0,26,°,5,8,,,
,,025 085,Fracción de píxeles claros en el campo de visión (FOV) de HIRS,Numérica,0,0,7,Numérica,0,3,,,
,,025 086,Indicador de la corrección de la profundidad,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 090,Banderín de estado orbital,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 091,Constante estructural del índice de refracción (Cn²),dB,3,-18192,13,dB,3,5,,,
,,025 092,Velocidad de propagación acústica,m s-1,2,28000,14,m s-1,2,5,,,
,,025 093,Corrección del cálculo RASS (sistema de sondeo radioacústico),Tabla de banderines,0,0,8,Tabla de banderines,0,3,,,
,,025 095,Banderín de estado del altímetro,Tabla de banderines,0,0,2,Tabla de banderines,0,1,,,
,,025 096,Banderín de estado del radiómetro,Tabla de banderines,0,0,5,Tabla de banderines,0,2,,,
,,025 097,Estimación del error tridimensional de la órbita del navegador,Tabla de cifrado,0,0,4,Tabla de cifrado,0,2,,,
,,025 098,Banderín de calidad de los datos altimétricos,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 099,Banderín de calidad de la corrección altimétrica,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 100,Coeficiente a de la ecuación del índice de caída de los XBT/XCTD,Numérica,5,0,20,Numérica,5,6,,,
,,025 101,Coeficiente b de la ecuación del índice de caída de los XBT/XCTD,Numérica,5,-500000,21,Numérica,5,6,,,
,,025 102,Número de líneas faltantes excluidas las lagunas de datos,Numérica,0,0,8,Numérica,0,3,,,
,,025 103,Número de células direccionales,Numérica,0,0,8,Numérica,0,3,,,
,,025 104,Número de células de longitud de onda,Numérica,0,0,8,Numérica,0,3,,,
,,025 105,Primera célula direccional,°,3,0,19,°,3,6,,,
,,025 106,Tramo de célula direccional,°,3,0,19,°,3,6,,,
,,025 107,Primera célula de longitud de onda,m,3,0,29,m,3,9,,,
,,025 108,Última célula de longitud de onda,m,3,0,29,m,3,9,,,
,,025 110,Resumen de proceso de imagen,Tabla de banderines,0,0,10,Tabla de banderines,0,4,,,
,,025 111,Número de lagunas de datos entrantes,Numérica,0,0,8,Numérica,0,3,,,
,,025 112,Banderín de calidad de los datos altimétricos en banda específica,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 113,Banderín de calidad de la corrección altimétrica en banda específica,Tabla de banderines,0,0,9,Tabla de banderines,0,3,,,
,,025 120,Banderín de proceso de nivel 2 - RA-2,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 121,Calidad de proceso de nivel 2 - RA-2,%,0,0,7,%,0,3,,,
,,025 122,Configuración del equipo informático para radiofrecuencia,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 123,Configuración del equipo informático para amplificador de gran potencia,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 124,Banderín de proceso de nivel 2 - MWR,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,025 125,Calidad de proceso de nivel 2 – MWR,%,0,0,7,%,0,3,,,
,,025 126,Corrección troposférica seca según modelo,m,3,-32768,16,m,3,5,,,
,,025 127,Corrección de barómetro invertido,m,3,-32768,16,m,3,5,,,
,,025 128,Corrección troposférica húmeda según modelo,m,3,-32768,16,m,3,5,,,
,,025 129,Corrección troposférica húmeda obtenida de MWR,m,3,-32768,16,m,3,5,,,
,,025 130,Corrección ionosférica obtenida de RA-2 en banda Ku,m,3,-32768,16,m,3,5,,,
,,025 131,Corrección ionosférica obtenida de Doris en banda Ku,m,3,-32768,16,m,3,5,,,
,,025 132,Corrección ionosférica en banda Ku según modelo,m,3,-32768,16,m,3,5,,,
,,025 133,Corrección del error sistemático sobre el estado del mar en banda Ku,m,3,-32768,16,m,3,5,,,
,,025 134,Corrección ionosférica obtenida de RA-2 en banda S,m,3,-32768,16,m,3,5,,,
,,025 135,Corrección ionosférica obtenida de Doris en banda S,m,3,-32768,16,m,3,5,,,
,,025 136,Corrección ionosférica en banda S según modelo,m,3,-32768,16,m,3,5,,,
,,025 137,Corrección del error sistemático sobre el estado del mar en banda S,m,3,-32768,16,m,3,5,,,
,,025 138,"Relación señal-ruido, promedio",Numérica,0,-2048,12,Numérica,0,4,,,
,,025 140,Canal de comienzo,Numérica,0,0,14,Numérica,0,5,,,
,,025 141,Canal de terminación,Numérica,0,0,14,Numérica,0,5,,,
,,025 142,Factor de escala del canal,Numérica,0,0,6,Numérica,0,2,,,
,,025 143,Coeficiente lineal,Numérica,6,-5000000,24,Numérica,6,,,,
,,025 148,Coeficiente de variación,Numérica,2,-10000,15,Numérica,2,5,,,
,,025 149,Estimación óptima de costo,Numérica,0,0,8,Numérica,0,3,,,
