Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,,Perfilador del viento — características de la antena,,,,,,,
,,321001,,,002101,Tipo de antena,,,,
,,,,,002114,Superficie equivalente de la antena,,,,
,,,,,002105,Ganancia máxima de la antena,,,,
,,,,,002106,Anchura del haz a 3 dB,,,,
,,,,,002107,Supresión de los lóbulos laterales,,,,
,,,,,002121,Frecuencia media,,,,
,,,Perfilador del viento — datos relativos al momento,,,,,,,
,,321003,,,021051,Potencia de la señal superior a 1 mW,,,,
,,,,,021014,Velocidad media Doppler (radial),,,,
,,,,,021017,Ancho espectral de la velocidad Doppler,,,,
,,,,,021030,Relación señal-ruido,,,,
,,,Perfilador del viento — datos relativos al momento de sondeo,,,,,,,
,,321004,,,301031,"Identificación y tipo de estación, fecha/hora, localización (gran precisión), altura de la estación",,,,
,,,,,002003,Tipo de instrumentos de medición utilizados,,,,
,,,,,101000,Repetición diferida de 1 descriptor,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,321003,Perfilador de viento — datos relativos al momento,,,,
,,,Características de los emisores-receptores,,,,,,,
,,321005,,,025004,Proceso de datos sobre ecos,,,,
,,,,,002121,Frecuencia media,,,,
,,,,,002122,Alcance de la agilidad de la frecuencia,,,,
,,,,,002123,Potencia de cresta,,,,
,,,,,002124,Potencia media,,,,
,,,,,002125,Frecuencia de repetición de los impulsos,,,,
,,,,,002126,Anchura de impulso,,,,
,,,,,002127,Frecuencia intermedia del receptor,,,,
,,,,,002128,Anchura de banda de las frecuencias intermedias,,,,
,,,,,002129,Señal mínima detectable,,,,
,,,,,002130,Alcance dinámico,,,,
,,,,,002131,Control de sensibilidad en función del tiempo (STC),,,,
,,,Características de integración,,,,,,,
,,321006,,,025001,Distancia de la puerta de integración,,,,
,,,,,025002,Número medio de puertas,,,,
,,,,,025003,Número de impulsos integrales,,,,
,,,,,025005,Integración de los ecos,,,,
,,,Correcciones,,,,,,,
,,321007,,,025009,Método de calibración,,,,
,,,,,025010,Tratamiento de los ecos parásitos,,,,
,,,,,025011,Corrección de los ecos de suelo (filtrado),,,,
,,,,,025012,Corrección de la atenuación del alcance,,,,
,,,,,025013,Corrección de la banda brillante,,,,
,,,,,025015,Corrección de la atenuación por el radomo,,,,
,,,,,025016,Corrección de la atenuación en aire claro,,,,
,,,,,025017,Corrección de la atenuación por las precipitaciones,,,,
,,,Conversión de Z a R,,,,,,,
,,321008,,,025006,Conversión Z a R,,,,
,,,,,025007,Factor de conversión Z a R,,,,
,,,,,025008,Exponente de conversión Z a R,,,,
,,,Enlace de A a Z,,,,,,,
,,321009,,,025018,Ley que enlaza A a Z para el factor de atenuación,,,,
,,,,,025019,Ley que enlaza A a Z para el exponente de atenuación,,,,
,,,Características de la antena,,,,,,,
,,321010,,,002101,Tipo de antena,,,,
,,,,,007002,Altura o altitud,Altitud de la base de la torre,,,
,,,,,002102,Altura de la antena sobre la base de la torre,,,,
,,,,,002103,Radomo,,,,
,,,,,002104,Polarización de la antena,,,,
,,,,,002105,Ganancia máxima de la antena,,,,
,,,,,002106,Anchura del haz a 3 dB,,,,
,,,,,002107,Supresión de los lóbulos laterales,,,,
,,,,,002108,Discriminación de la polarización cruzada (en el eje),,,,
,,,,,002109,Velocidad angular de la antena (en azimut),,,,
,,,,,002110,Velocidad angular de la antena (en elevación),,,,
,,,,,002132,Precisión de puntería en azimut,,,,
,,,,,002133,Precisión de puntería en elevación,,,,
,,,Características generales,,,,,,,
,,321011,,,030031,Tipo de imagen,,,,
,,,,,030032,Combinación con otros datos,,,,
,,,,,029002,Tipo de retícula de coordenadas,,,,
,,,Elevación de la antena,,,,,,,
,,321012,,,101000,Repetición diferida de 1 descriptor,,,,
,,,,,031001,Factor de repetición diferida del descriptor,,,,
,,,,,002135,Elevación de la antena,,,,
,,,Información básica (encabezamiento del sistema/sitio) sobre el perfilador de viento/sistema de sondeo radioacústico (RASS),,,,,,,
,,321021,,,002003,Tipo de instrumentos de medición utilizados,,,,
,,,,,002101,Tipo de antena,,,,
,,,,,201130,Cambio de anchura de datos,8 bits,,,
,,,,,002106,Anchura del haz a 3 dB,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,201132,Cambio de anchura de datos,11 bits,,,
,,,,,202130,Cambio de escala,Escala: –6,,,
