Category,CategoryOfSequences_es,FXY1,Title_es,SubTitle_es,FXY2,ElementName_es,ElementDescription_es,Note_es,noteIDs,Status
,,,(Datos de nivel 1c de IASI),,,,,,,
,,340001,,,001007,Identificador del satélite,,,,
,,,,,001031,Identificación del centro de origen/generación,,,,
,,,,,002019,Instrumentos de satélite,,,,
,,,,,002020,Clasificación de los satélites,,,,
,,,,,004001,Año,,,,
,,,,,004002,Mes,,,,
,,,,,004003,Día,,,,
,,,,,004004,Hora,,,,
,,,,,004005,Minuto,,,,
,,,,,202131,Cambio de escala,Añadir 3 a la escala,,,
,,,,,201138,Cambio de anchura de datos,Añadir 10 a la anchura,,,
,,,,,004006,Segundo,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,005001,Latitud (alta precisión),,,,
,,,,,006001,Longitud (alta precisión),,,,
,,,,,007024,Ángulo cenital del satélite,,,,
,,,,,005021,Rumbo o azimut,,,,
,,,,,007025,Ángulo cenital del sol,,,,
,,,,,005022,Azimut solar,,,,
,,,,,005043,Número del campo de visión,,,,
,,,,,005040,Número orbital,,,,
,,,,,201133,Cambio de anchura de datos,Añadir 5 a la anchura,,,
,,,,,005041,Número de la línea de exploración,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,201132,Cambio de anchura de datos,Añadir 4 a la anchura,,,
,,,,,025070,Número de tramas principales,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,202126,Cambio de escala,Sustraer 2 a la escala,,,
,,,,,007001,Altura de la estación,,,,
,,,,,202000,Cambio de escala,Anular,,,
,,,,,033060,GqisFlagQual — IASI individual -banderín de calidad del sistema,,,,
,,,,,033061,GqisQualIndex —indicador del funcionamiento del ruido instrumental (contribuciones de calibración espectral y radiométrica),,,,
,,,,,033062,GqisQualIndexLoc — indicador del índice de calidad geométrica,,,,
,,,,,033063,GqisQualIndexRad — indicador del funcionamiento del ruido instrumental (contribuciones de calibración radiométrica),,,,
,,,,,033064,GqisQualIndexRad — indicador del funcionamiento del ruido instrumental (contribuciones de calibración espectral),,,,
,,,,,033065,GqisSysTecSondQual — productos de sistema TEC función de calidad,,,,
,,,,,101010,Repetir 1 descriptor 10 veces,,,,
,,,,,340002,Descripción de la banda,,,,
,,,,,101087,Repetir 1 descriptor 87 veces,,,,
,,,,,340003,100 canales de nivel 1c IASI,,,,
,,,,,002019,Instrumentos de satélite,,,,
,,,,,025051,Combinación de los canales del radiómetro AVHRR,,,,
,,,,,101007,Repetir 1 descriptor 7 veces,,,,
,,,,,340004,Escena única AVHRR de nivel 1c IASI,,,,
,,,(Descripción de banda),,,,,,,
,,340002,,,025140,Canal de comienzo,,,,
,,,,,025141,Canal de terminación,,,,
,,,,,025142,Factor de escala del canal,,,,
,,,(Secuencia de 100 canales de nivel 1c IASI),,,,,,,
,,340003,,,104100,Repetir 4 descriptores 100 veces,,,,
,,,,,201136,Cambio de anchura de datos,Añadir 8 a la anchura,,,
,,,,,005042,Número del canal,,,,
,,,,,201000,Cambio de anchura de datos,Anular,,,
,,,,,014046,Radiancia ajustada,,,,
,,,(Secuencia de escenas AVHRR de nivel 1c IASI),,,,,,,
,,340004,,,005060,Posición angular Y desde el centro de gravedad,,,,
,,,,,005061,Posición angular Z desde el centro de gravedad,,,,
,,,,,025085,Fracción de píxeles claros en FOV del HIRS,,,,
