FXY,ElementName_es,CodeFigure,EntryName_es,EntryName_sub1_es,EntryName_sub2_es,Note_es,noteIDs,Status
003001,Tipo de estación de superficie,0,Estación terrestre (red sinóptica),,,,,Operational
003001,Tipo de estación de superficie,1,Estación de aguas poco profundas (fijadas al suelo marino/lacustre),,,,,Operational
003001,Tipo de estación de superficie,2,Buque,,,,,Operational
003001,Tipo de estación de superficie,3,Equipo de perforación/plataforma,,,,,Operational
003001,Tipo de estación de superficie,4,Boya fondeada,,,,,Operational
003001,Tipo de estación de superficie,5,Boya libre (o boya a la deriva),,,,,Operational
003001,Tipo de estación de superficie,6,Boya de hielo,,,,,Operational
003001,Tipo de estación de superficie,7,Estación terrestre (red local),,,,,Operational
003001,Tipo de estación de superficie,8,Vehículo terrestre,,,,,Operational
003001,Tipo de estación de superficie,9,Vehículo marino autónomo,,,,,Operational
003001,Tipo de estación de superficie,10,Sensor colocado en animal marino,,,,,Operational
003001,Tipo de estación de superficie,11-30,Reservadas para uso futuro,,,,,Operational
003001,Tipo de estación de superficie,31,Valor faltante,,,,,Operational
003003,Abrigo del termómetro/higrómetro,0,Garita,,,,,Operational
003003,Abrigo del termómetro/higrómetro,1,Honda/noria,,,,,Operational
003003,Abrigo del termómetro/higrómetro,2,Sin garita,,,,,Operational
003003,Abrigo del termómetro/higrómetro,3,Protección contra la radiación,,,,,Operational
003003,Abrigo del termómetro/higrómetro,4,"Aspirado (p. ej., Assmann)",,,,,Operational
003003,Abrigo del termómetro/higrómetro,5,Otro abrigo,,,,,Operational
003003,Abrigo del termómetro/higrómetro,6,Portátil,,,,,Operational
003003,Abrigo del termómetro/higrómetro,7-14,Reservadas para uso futuro,,,,,Operational
003003,Abrigo del termómetro/higrómetro,15,Valor faltante,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,0,Garita de Stevenson,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,1,Garita de Stevenson marina,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,2,Protección de placas de sección cilíndrica,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,3,Tubo concéntrico,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,4,Protección de sección rectangular,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,5,Protección de sección cuadrada,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,6,Protección de sección triangular,,,,,Operational
003004,Tipo de garita/abrigo/protección contra la radiación,7,Tejado abierto a simple vertiente,,,,,
003004,Tipo de garita/abrigo/protección contra la radiación,8,Tejado abierto en forma de V invertida,,,,,
003004,Tipo de garita/abrigo/protección contra la radiación,9,"Integrado (p. ej., espejo enfriado)",,,,,
003004,Tipo de garita/abrigo/protección contra la radiación,10-14,Reservadas para uso futuro,,,,,
003004,Tipo de garita/abrigo/protección contra la radiación,15,Valor faltante,,,,,
003008,Garita o protección ventilada artificialmente,0,Ventilación natural en uso,,,,,
003008,Garita o protección ventilada artificialmente,1,Aspiración artificial en uso: flujo constante en el momento de la lectura,,,,,
003008,Garita o protección ventilada artificialmente,2,Aspiración artificial en uso: flujo variable en el momento de la lectura,,,,,
003008,Garita o protección ventilada artificialmente,3-6,Reservadas,,,,,
003008,Garita o protección ventilada artificialmente,7,Valor faltante,,,,,
003010,Método de medición de la corriente del mar/agua,0,Reservada,,,,,
