TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 08 001,Significación del sondeo vertical,1,Superficie,
0 08 001,Significación del sondeo vertical,2,Nivel estándar,
0 08 001,Significación del sondeo vertical,3,Nivel tropopáusico,
0 08 001,Significación del sondeo vertical,4,Nivel del viento máximo,
0 08 001,Significación del sondeo vertical,5,"Nivel significativo, temperatura y/o humedad relativa",
0 08 001,Significación del sondeo vertical,6,"Nivel significativo, viento",
0 08 001,Significación del sondeo vertical,Todos los 7,Valor faltante,
0 08 002,Significación vertical (observaciones en superficie),0,Reglas de observación de la base de las nubes más bajas y de los tipos de nubes aplicables a las claves FM 12 SYNOP y FM 13 SHIP,
0 08 002,Significación vertical (observaciones en superficie),1,Primera capa significativa que no sea de cumulonimbus,
0 08 002,Significación vertical (observaciones en superficie),2,Segunda capa significativa que no sea de cumulonimbus,
0 08 002,Significación vertical (observaciones en superficie),3,Tercera capa significativa que no sea de cumulonimbus,
0 08 002,Significación vertical (observaciones en superficie),4,Capa de cumulonimbus,
0 08 002,Significación vertical (observaciones en superficie),5,Techo de nubes,
0 08 002,Significación vertical (observaciones en superficie),6,Nubes no detectadas por debajo de las alturas siguientes,
0 08 002,Significación vertical (observaciones en superficie),7,Nube baja,
0 08 002,Significación vertical (observaciones en superficie),8,Nube media,
0 08 002,Significación vertical (observaciones en superficie),9,Nube alta,
0 08 002,Significación vertical (observaciones en superficie),10,Capa nubosa con base por debajo y cima por encima de la estación,
0 08 002,Significación vertical (observaciones en superficie),11,Capa nubosa con base y cima por debajo del nivel de la estación,
0 08 002,Significación vertical (observaciones en superficie),12-19,Reservadas,
0 08 002,Significación vertical (observaciones en superficie),20,El sistema de detección de nubes no ha detectado nubes,
0 08 002,Significación vertical (observaciones en superficie),21,Primer instrumento detecta capa nubosa,
0 08 002,Significación vertical (observaciones en superficie),22,Segundo instrumento detecta capa nubosa,
0 08 002,Significación vertical (observaciones en superficie),23,Tercero instrumento detecta capa nubosa,
0 08 002,Significación vertical (observaciones en superficie),24,Cuarto instrumento detecta capa nubosa,
0 08 002,Significación vertical (observaciones en superficie),25-61,Reservadas,
0 08 002,Significación vertical (observaciones en superficie),62,Valor no aplicable,
0 08 002,Significación vertical (observaciones en superficie),63,Valor faltante,
0 08 003,Significación vertical (observaciones satelitales),0,Superficie,
0 08 003,Significación vertical (observaciones satelitales),1,Base del sondeo por satélite,
0 08 003,Significación vertical (observaciones satelitales),2,Cima de nubes,
0 08 003,Significación vertical (observaciones satelitales),3,Tropopausa,
0 08 003,Significación vertical (observaciones satelitales),4,Agua precipitable,
0 08 003,Significación vertical (observaciones satelitales),5,Radiancias observadas por sondeo,
0 08 003,Significación vertical (observaciones satelitales),6,Temperaturas medias,
0 08 003,Significación vertical (observaciones satelitales),7,Ozono,
0 08 003,Significación vertical (observaciones satelitales),8,Nubes bajas,
0 08 003,Significación vertical (observaciones satelitales),9,Nubes medias,
0 08 003,Significación vertical (observaciones satelitales),10,Nubes altas,
0 08 003,Significación vertical (observaciones satelitales),11-62,Reservadas,
0 08 003,Significación vertical (observaciones satelitales),63,Valor faltante,
0 08 004,Fase del vuelo de la aeronave,0-1,Reservadas,
0 08 004,Fase del vuelo de la aeronave,2,Irregular (UNS),
0 08 004,Fase del vuelo de la aeronave,3,"Nivel del vuelo, observación regular (LVR)",
0 08 004,Fase del vuelo de la aeronave,4,"Nivel del vuelo, viento máximo encontrado (LVW)",
0 08 004,Fase del vuelo de la aeronave,5,Ascenso (ASC),
0 08 004,Fase del vuelo de la aeronave,6,Descenso (DES),
0 08 004,Fase del vuelo de la aeronave,7,Valor faltante,
0 08 005,Significación del atributo meteorológico,0,Centro de la tormenta,
0 08 005,Significación del atributo meteorológico,1,Límite exterior o límite de la tormenta,
0 08 005,Significación del atributo meteorológico,2,Posición del viento máximo,
0 08 005,Significación del atributo meteorológico,3,Posición de la tormenta en el análisis perturbado,
0 08 005,Significación del atributo meteorológico,4,Posición de la tormenta en el análisis,
0 08 005,Significación del atributo meteorológico,6-14,Reservadas,
0 08 005,Significación del atributo meteorológico,15,Valor faltante,
0 08 006,Significación del sondeo vertical del ozono,1,Superficie,
0 08 006,Significación del sondeo vertical del ozono,2,Nivel estándar,
0 08 006,Significación del sondeo vertical del ozono,3,Nivel de la tropopausa,
0 08 006,Significación del sondeo vertical del ozono,4,Nivel máximo prominente,
0 08 006,Significación del sondeo vertical del ozono,5,Nivel mínimo prominente,
0 08 006,Significación del sondeo vertical del ozono,6,Nivel de presión mínima,
0 08 006,Significación del sondeo vertical del ozono,7,Reservado,
0 08 006,Significación del sondeo vertical del ozono,8,Nivel de significación no determinada,
0 08 006,Significación del sondeo vertical del ozono,Todos los 9,Valor faltante,
0 08 007,Significación dimensional,0,Punto,
0 08 007,Significación dimensional,1,Línea,
0 08 007,Significación dimensional,2,Área,
0 08 007,Significación dimensional,3,Volumen,
0 08 007,Significación dimensional,4-14,Reservadas,
0 08 007,Significación dimensional,15,Valor faltante,
0 08 008,Significación del sondeo vertical de la radiación,1,Superficie,
0 08 008,Significación del sondeo vertical de la radiación,2,Nivel estándar,
0 08 008,Significación del sondeo vertical de la radiación,3,Nivel de la tropopausa,
0 08 008,Significación del sondeo vertical de la radiación,4,Nivel de radiación beta máxima,
0 08 008,Significación del sondeo vertical de la radiación,5,Nivel de radiación gamma máxima,
0 08 008,Significación del sondeo vertical de la radiación,6,Nivel de presión mínima,
0 08 008,Significación del sondeo vertical de la radiación,7,Reservado,
0 08 008,Significación del sondeo vertical de la radiación,8,Nivel de significación no determinada,
0 08 008,Significación del sondeo vertical de la radiación,Los 9,Valor faltante,
0 08 009,Fase detallada de vuelo de aeronave,0,"Vuelo horizontal, observación de rutina, inestable",
0 08 009,Fase detallada de vuelo de aeronave,1,"Vuelo horizontal, viento más fuerte encontrado, inestable",
0 08 009,Fase detallada de vuelo de aeronave,2,Inestable (UNS),
0 08 009,Fase detallada de vuelo de aeronave,3,"Vuelo horizontal, observación de rutina (LVR)",
0 08 009,Fase detallada de vuelo de aeronave,4,"Vuelo horizontal, viento más fuerte encontrado (LVW)",
0 08 009,Fase detallada de vuelo de aeronave,5,Ascendente (ASC),
0 08 009,Fase detallada de vuelo de aeronave,6,Descendente (DES),
0 08 009,Fase detallada de vuelo de aeronave,7,"Ascendente, intervalos de observación seleccionados por incrementos de tiempo",
0 08 009,Fase detallada de vuelo de aeronave,8,"Ascendente, intervalos de observación seleccionados por incrementos de tiempo, inestable",
0 08 009,Fase detallada de vuelo de aeronave,9,"Ascendente, intervalos de observación seleccionados por incrementos de presión",
0 08 009,Fase detallada de vuelo de aeronave,10,"Ascendente, intervalos de observación seleccionados por incrementos de presión, inestable",
0 08 009,Fase detallada de vuelo de aeronave,11,"Descendente, intervalos de observación seleccionados por incrementos de tiempo",
0 08 009,Fase detallada de vuelo de aeronave,12,"Descendente, intervalos de observación seleccionados por incrementos de tiempo, inestable",
0 08 009,Fase detallada de vuelo de aeronave,13,"Descendente, intervalos de observación seleccionados por incrementos de presión",
0 08 009,Fase detallada de vuelo de aeronave,14,"Descendente, intervalos de observación seleccionados por incrementos de presión, inestable",
0 08 009,Fase detallada de vuelo de aeronave,15,Valor faltante,
0 08 010,Calificador de superficie (para datos de temperatura),0,Reservada,
0 08 010,Calificador de superficie (para datos de temperatura),1,Suelo desnudo,
0 08 010,Calificador de superficie (para datos de temperatura),2,Roca desnuda,
0 08 010,Calificador de superficie (para datos de temperatura),3,Cubierta de hierba,
0 08 010,Calificador de superficie (para datos de temperatura),4,"Agua (lago, mar)",
0 08 010,Calificador de superficie (para datos de temperatura),5,Escorrentía subterránea,
0 08 010,Calificador de superficie (para datos de temperatura),6,Nieve,
0 08 010,Calificador de superficie (para datos de temperatura),7,Hielo,
0 08 010,Calificador de superficie (para datos de temperatura),8,Pista o carretera,
0 08 010,Calificador de superficie (para datos de temperatura),9,Puente de acero de buque o plataforma,
0 08 010,Calificador de superficie (para datos de temperatura),10,Puente de madera de buque o plataforma,
0 08 010,Calificador de superficie (para datos de temperatura),11,Puente parcialmente cubierto con placa de caucho de buque o plataforma,
0 08 010,Calificador de superficie (para datos de temperatura),12,Techo del edificio,
0 08 010,Calificador de superficie (para datos de temperatura),13-30,Reservadas,
0 08 010,Calificador de superficie (para datos de temperatura),31,Valor faltante,
0 08 011,Característica meteorológica,0,Frente casi estacionario en superficie,
0 08 011,Característica meteorológica,1,Frente casi estacionario en altitud,
0 08 011,Característica meteorológica,2,Frente cálido en superficie,
0 08 011,Característica meteorológica,3,Frente cálido en altitud,
0 08 011,Característica meteorológica,4,Frente frío en superficie,
0 08 011,Característica meteorológica,5,Frente frío en altitud,
0 08 011,Característica meteorológica,6,Oclusión,
0 08 011,Característica meteorológica,7,Línea de inestabilidad,
0 08 011,Característica meteorológica,8,Frente intertropical,
0 08 011,Característica meteorológica,9,Línea de convergencia,
0 08 011,Característica meteorológica,10,Corriente de chorro,
0 08 011,Característica meteorológica,11,Cielo despejado,
0 08 011,Característica meteorológica,12,Nubes,
0 08 011,Característica meteorológica,13,Turbulencia,
0 08 011,Característica meteorológica,14,Tormenta,
0 08 011,Característica meteorológica,15,Engelamiento del fuselaje de la aeronave,
0 08 011,Característica meteorológica,16,Fenómeno,
0 08 011,Característica meteorológica,17,Volcán,
0 08 011,Característica meteorológica,18,Parásitos atmosféricos,
0 08 011,Característica meteorológica,19,Reservada,
0 08 011,Característica meteorológica,20,Nubes especiales,
0 08 011,Característica meteorológica,21,Tormenta,
0 08 011,Característica meteorológica,22,Ciclón tropical,
0 08 011,Característica meteorológica,23,Onda orográfica,
0 08 011,Característica meteorológica,24,Tempestad de polvo,
