TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 11 030,Grado de turbulencia ampliado,0,Nada,En nubes
0 11 030,Grado de turbulencia ampliado,1,Ligera,En nubes
0 11 030,Grado de turbulencia ampliado,2,Moderada,En nubes
0 11 030,Grado de turbulencia ampliado,3,Fuerte,En nubes
0 11 030,Grado de turbulencia ampliado,4,Nada,En aire claro
0 11 030,Grado de turbulencia ampliado,5,Ligera,En aire claro
0 11 030,Grado de turbulencia ampliado,6,Moderada,En aire claro
0 11 030,Grado de turbulencia ampliado,7,Fuerte,En aire claro
0 11 030,Grado de turbulencia ampliado,8,Nada,Nubes/aire claro no especificado
0 11 030,Grado de turbulencia ampliado,9,Ligera,Nubes/aire claro no especificado
0 11 030,Grado de turbulencia ampliado,10,Moderada,Nubes/aire claro no especificado
0 11 030,Grado de turbulencia ampliado,11,Fuerte,Nubes/aire claro no especificado
0 11 030,Grado de turbulencia ampliado,12,"Extrema, en aire claro",
0 11 030,Grado de turbulencia ampliado,13,"Extrema, en nubes",
0 11 030,Grado de turbulencia ampliado,14,"Extrema, nubes/aire claro no especificado",
0 11 030,Grado de turbulencia ampliado,15,"Ligera, moderada aislada",
0 11 030,Grado de turbulencia ampliado,16,"Ligera, moderada ocasional",
0 11 030,Grado de turbulencia ampliado,17,"Ligera, moderada frecuente",
0 11 030,Grado de turbulencia ampliado,18,"Moderada, fuerte aislada",
0 11 030,Grado de turbulencia ampliado,19,"Moderada, fuerte ocasional",
0 11 030,Grado de turbulencia ampliado,20,"Moderada, fuerte frecuente",
0 11 030,Grado de turbulencia ampliado,21,"Severa, extrema aislada",
0 11 030,Grado de turbulencia ampliado,22,"Severa, extrema ocasional",
0 11 030,Grado de turbulencia ampliado,23,"Severa, extrema frecuente",
0 11 030,Grado de turbulencia ampliado,24-62,Reservadas,
0 11 030,Grado de turbulencia ampliado,63,Valor faltante,
0 11 031,Grado de turbulencia,0,Ninguna,En nubes
0 11 031,Grado de turbulencia,1,Leve,En nubes
0 11 031,Grado de turbulencia,2,Moderada,En nubes
0 11 031,Grado de turbulencia,3,Fuerte,En nubes
0 11 031,Grado de turbulencia,4,Ninguna,En aire claro
0 11 031,Grado de turbulencia,5,Leve,En aire claro
0 11 031,Grado de turbulencia,6,Moderada,En aire claro
0 11 031,Grado de turbulencia,7,Fuerte,En aire claro
0 11 031,Grado de turbulencia,8,Ninguna,Nubes/aire claro no especificado
0 11 031,Grado de turbulencia,9,Leve,Nubes/aire claro no especificado
0 11 031,Grado de turbulencia,10,Moderada,Nubes/aire claro no especificado
0 11 031,Grado de turbulencia,11,Fuerte,Nubes/aire claro no especificado
0 11 031,Grado de turbulencia,12,"Extrema, en cielo despejado",
0 11 031,Grado de turbulencia,13,"Extrema, en cielo nuboso",
0 11 031,Grado de turbulencia,14,"Extrema, en cielo nuboso/despejado - no especificado",
0 11 031,Grado de turbulencia,15,Valor faltante,
0 11 037,Índice de turbulencia,0,"med < 0,1","máx < 0,1"
0 11 037,Índice de turbulencia,1,"med < 0,1","0,1 ≤máx < 0,2"
0 11 037,Índice de turbulencia,2,"0,1 ≤ med < 0,2","0,1 ≤ máx < 0,2"
0 11 037,Índice de turbulencia,3,"med < 0,1","0,2 ≤ máx < 0,3"
0 11 037,Índice de turbulencia,4,"0,1 ≤med < 0,2","0,2 ≤máx < 0,3"
0 11 037,Índice de turbulencia,5,"0,2 ≤ med < 0,3","0,2 ≤máx < 0,3"
0 11 037,Índice de turbulencia,6,"med < 0,1","0,3 ≤máx < 0,4"
0 11 037,Índice de turbulencia,7,"0,1 ≤ med < 0,2","0,3 ≤máx < 0,4"
0 11 037,Índice de turbulencia,8,"0,2 ≤ med < 0,3","0,3 ≤máx < 0,4"
0 11 037,Índice de turbulencia,9,"0,3 ≤ med < 0,4","0,3 ≤máx < 0,4"
0 11 037,Índice de turbulencia,10,"med < 0,1","0,4 ≤máx < 0,5"
0 11 037,Índice de turbulencia,11,"0,1 ≤ med < 0,2","0,4 ≤máx < 0,5"
