TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 20 063,Fenómenos especiales,0,Reservada,
0 20 063,Fenómenos especiales,1,"Velocidad máxima de las ráfagas superior a 11,5 m/s",
0 20 063,Fenómenos especiales,2,"Velocidad media máxima del viento superior a 17,5 m/s",
0 20 063,Fenómenos especiales,3-5,Reservadas,
0 20 063,Fenómenos especiales,7,Visibilidad superior a 100 000 m,
0 20 063,Fenómenos especiales,8-9,Reservadas,
0 20 063,Fenómenos especiales,10,Espejismo: sin especificación,Espejismo
0 20 063,Fenómenos especiales,11,Espejismo: imagen de objeto que emerge a distancia (espejismo emergente),Espejismo
0 20 063,Fenómenos especiales,12,Espejismo: imagen de objeto que emerge claramente en el horizonte,Espejismo
0 20 063,Fenómenos especiales,13,Espejismo: imagen invertida de objeto distante,Espejismo
0 20 063,Fenómenos especiales,14,Espejismo: imágenes complejas y múltiples de objeto distante (imágenes en posición normal),Espejismo
0 20 063,Fenómenos especiales,15,Espejismo: imágenes complejas y múltiples de objeto distante (con inversión de algunas imágenes),Espejismo
0 20 063,Fenómenos especiales,16,Espejismo: imagen del sol o la luna apreciablemente distorsionada,Espejismo
0 20 063,Fenómenos especiales,17,"Espejismo: sol visible, aunque esté situado astronómicamente debajo del horizonte",Espejismo
0 20 063,Fenómenos especiales,18,"Espejismo: luna visible, aunque esté situada astronómicamente debajo del horizonte",Espejismo
0 20 063,Fenómenos especiales,19,Reservada,Espejismo
0 20 063,Fenómenos especiales,20,"Oscuridad diurna, bastante, más intensa en la dirección especificada","Oscuridad diurna, más intensa en la dirección especificada"
0 20 063,Fenómenos especiales,21,"Oscuridad diurna, mucha, más intensa en la dirección especificada","Oscuridad diurna, más intensa en la dirección especificada"
0 20 063,Fenómenos especiales,22,"Oscuridad diurna, total, más intensa en la dirección especificada","Oscuridad diurna, más intensa en la dirección especificada"
0 20 063,Fenómenos especiales,23-30,Reservadas,
0 20 063,Fenómenos especiales,31,Coloración débil de las nubes a la salida del sol asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
0 20 063,Fenómenos especiales,32,Coloración roja oscura de las nubes a la salida del sol asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
0 20 063,Fenómenos especiales,33,Coloración débil de las nubes a la puesta del sol asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
0 20 063,Fenómenos especiales,34,Coloración roja oscura de las nubes a la puesta del sol asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
0 20 063,Fenómenos especiales,35,Convergencia de nubes CH en un punto inferior a 45° en formación o aumento y asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
0 20 063,Fenómenos especiales,36,Convergencia de nubes CH en un punto superior a 45° asociada con una perturbación tropical,Coloración y/o convergencia de las nubes asociadas con una perturbación tropical
