TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 20 003,Tiempo presente,Cifra de clave,Sin precipitaciones en la estación en el momento de la observación,
0 20 003,Tiempo presente,Cifra de clave,"Sin precipitación, niebla, niebla helada (excepto para 11 y 12), tempestad de polvo, tempestad de arena, ventisca alta o baja en la estación* en el momento de la observación o, excepto para 09 y 17, durante la hora precedente",
0 20 003,Tiempo presente,Cifra de clave,"Sin presencia de meteoros, excepto fotometeoro",
0 20 003,Tiempo presente,Cifra de clave,Ningún desarrollo nuboso fue observado o pudo ser observado,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Nubes que en general van disipándose,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Estado del cielo sin cambios en su conjunto,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Nubes en formación o en desarrollo,Variación característica del estado del cielo o haciéndose menos espesas en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Bruma, polvo, arena o humo",
0 20 003,Tiempo presente,Cifra de clave,"Visibilidad reducida por humo, por ejemplo fuego de maleza o incendio de bosques, humo industrial o cenizas volcánicas",
0 20 003,Tiempo presente,Cifra de clave,Bruma,
0 20 003,Tiempo presente,Cifra de clave,"Polvo en suspensión en el aire, que abarca gran extensión, no levantado por el viento en la estación o en sus alrededores, en el momento de la observación",
0 20 003,Tiempo presente,Cifra de clave,"Polvo o arena levantado por el viento en la estación o en sus alrededores en el momento de la observación, pero sin torbellino(s) de polvo o de arena bien desarrollado(s) ni tempestad de polvo o de arena a la vista; o rociones en la estación, en el caso de una estación en mar o en la costa",
0 20 003,Tiempo presente,Cifra de clave,"Torbellino(s) de polvo o de arena bien desarrollado(s), observado(s) en la estación o en sus alrededores durante la hora precedente o en el momento de la observación, pero sin tempestad de polvo o de arena",
0 20 003,Tiempo presente,Cifra de clave,"Tempestad de polvo o de arena a la vista en el momento de la observación, o en la estación misma durante la hora precedente",
0 20 003,Tiempo presente,Cifra de clave,Neblina,
0 20 003,Tiempo presente,Cifra de clave,En bancos,"Capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar"
0 20 003,Tiempo presente,Cifra de clave,Más o menos continua,"Capa delgada de niebla o de niebla helada en la estación, ya sea en tierra o en el mar, de un espesor no mayor de 2 metros sobre tierra o de 10 metros sobre el mar"
0 20 003,Tiempo presente,Cifra de clave,"Relámpagos a la vista, sin oírse truenos",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación a la vista, que no llega al suelo o a la superficie del mar",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación a la vista, que llega al suelo o a la superficie del mar, pero distante, es decir, estimada a más de 5 km de la estación",
0 20 003,Tiempo presente,Cifra de clave,"Precipitación a la vista, que llega al suelo o a la superficie del mar cerca de la estación, pero no en la estación misma",
0 20 003,Tiempo presente,Cifra de clave,"Tormenta, pero sin precipitación en el momento de la observación",
0 20 003,Tiempo presente,Cifra de clave,Turbonadas,en la estación o a la vista durante la hora precedente o en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,Nubes con forma de embudo**,en la estación o a la vista durante la hora precedente o en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Precipitación, niebla, niebla helada o tormenta en la estación en el curso de la hora precedente pero no en el momento de la observación",
0 20 003,Tiempo presente,Cifra de clave,Llovizna (no engelante) o cinarra,no en forma de chubasco(s)
0 20 003,Tiempo presente,Cifra de clave,Lluvia (no engelante),no en forma de chubasco(s)
0 20 003,Tiempo presente,Cifra de clave,Nieve,no en forma de chubasco(s)
0 20 003,Tiempo presente,Cifra de clave,Lluvia y nieve o hielo granulado,no en forma de chubasco(s)
0 20 003,Tiempo presente,Cifra de clave,Llovizna engelante o lluvia engelante,no en forma de chubasco(s)
0 20 003,Tiempo presente,Cifra de clave,Chubasco(s) de lluvia,
0 20 003,Tiempo presente,Cifra de clave,Chubasco(s) de nieve o de lluvia y nieve,
0 20 003,Tiempo presente,Cifra de clave,"Chubasco(s) de granizo*, o de lluvia y granizo*",
0 20 003,Tiempo presente,Cifra de clave,Niebla o niebla helada,
0 20 003,Tiempo presente,Cifra de clave,Tormenta (con o sin precipitación),
0 20 003,Tiempo presente,Cifra de clave,"Tempestad de polvo, tempestad de arena, ventisca baja o alta",
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo de arena débil o moderada,ha disminuido en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo de arena débil o moderada,sin cambio apreciable en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo de arena débil o moderada,ha comenzado o ha aumentado en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo o de arena fuerte,ha disminuido en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo o de arena fuerte,sin cambio apreciable en el curso de la hora precedente curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Tempestad de polvo o de arena fuerte,ha comenzado o ha aumentado en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,Ventisca débil o moderada,generalmente baja (por debajo del nivel de la vista del observador)
0 20 003,Tiempo presente,Cifra de clave,Ventisca fuerte,generalmente baja (por debajo del nivel de la vista del observador)
0 20 003,Tiempo presente,Cifra de clave,Ventisca débil o moderada,generalmente alta (por encima del nivel de la vista del observador)
0 20 003,Tiempo presente,Cifra de clave,Ventisca fuerte,generalmente alta (por encima del nivel de la vista del observador)
0 20 003,Tiempo presente,Cifra de clave,Niebla o niebla helada en el momento de la observación,
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada a la distancia en el momento de la observación, pero no en la estación durante la hora precedente; la niebla o niebla helada se extiende hasta un nivel superior al del observador",
0 20 003,Tiempo presente,Cifra de clave,Niebla o niebla helada en bancos,
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo visible",ha disminuido en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo invisible",ha disminuido en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo visible",sin cambio apreciable en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo invisible",sin cambio apreciable en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo visible",ha comenzado o se ha espesado en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla o niebla helada, cielo invisible",ha comenzado o se ha espesado en el curso de la hora precedente
0 20 003,Tiempo presente,Cifra de clave,"Niebla que deposita cencellada blanca, cielo visible",
0 20 003,Tiempo presente,Cifra de clave,"Niebla que deposita cencellada blanca, cielo invisible",
0 20 003,Tiempo presente,Cifra de clave,Precipitación en la estación en el momento de la observación,
0 20 003,Tiempo presente,Cifra de clave,Llovizna,
0 20 003,Tiempo presente,Cifra de clave,"Llovizna intermitente, no engelante",débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna continua, no engelante",débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna intermitente, no engelante",moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna continua, no engelante",moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna intermitente, no engelante",fuerte (densa) en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna continua, no engelante",fuerte (densa) en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Llovizna débil, engelante",
0 20 003,Tiempo presente,Cifra de clave,Llovizna moderada o fuerte (densa) engelante,
0 20 003,Tiempo presente,Cifra de clave,"Llovizna y lluvia, débil",
0 20 003,Tiempo presente,Cifra de clave,"Llovizna y lluvia, moderada o fuerte",
0 20 003,Tiempo presente,Cifra de clave,Lluvia,
0 20 003,Tiempo presente,Cifra de clave,"Lluvia intermitente, no engelante",débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia continua, no engelante",débil en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia intermitente, no engelante",moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia continua, no engelante",moderada en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia intermitente, no engelante",fuerte (densa) en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia continua, no engelante",fuerte (densa) en el momento de la observación
0 20 003,Tiempo presente,Cifra de clave,"Lluvia débil, engelante",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia moderada o fuerte, engelante",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia y nieve o llovizna y nieve, débil",
0 20 003,Tiempo presente,Cifra de clave,"Lluvia y nieve o llovizna y nieve, moderada o fuerte",
