TABLE_NO,TABLE_NAME,CODEFLAG,ELEMENT,OTHER
0 33 078,Calidad del geoposicionamiento,0,Nominal - datos de altitud y efemérides disponibles,
0 33 078,Calidad del geoposicionamiento,1,"Falta, como máximo, una pequeña laguna de datos de altitud y efemérides",
0 33 078,Calidad del geoposicionamiento,2,"Falta más que una pequeña laguna de datos de altitud y efemérides, pero no más que una separación de granulado",
0 33 078,Calidad del geoposicionamiento,3,Falta más de una separación de granulado de datos de altitud y efemérides,
0 33 078,Calidad del geoposicionamiento,4-14,Reservadas,
0 33 078,Calidad del geoposicionamiento,15,Valor faltante,
0 33 079,Banderines de calidad del nivel granulado,1-5,Reservados,
0 33 079,Banderines de calidad del nivel granulado,6,Los números 1 a 7 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,7,Los números 8 a 15 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,8,Los números 16 a 23 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,9,Los números 24 a 31 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,10,Los números 32 a 39 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,11,Los números 40 a 47 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,12,Los números 48 a 55 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,13,Los números 56 a 63 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,14,Los números 64 a 70 no superaron la prueba de buen funcionamiento,
0 33 079,Banderines de calidad del nivel granulado,15,Corrección cuadrática aplicada a la función de transferencia radiométrica para la corrección no lineal,
0 33 079,Banderines de calidad del nivel granulado,Todo 16,Valor faltante,
0 33 080,Banderines de calidad del nivel de exploración,1-6,Reservados,
0 33 080,Banderines de calidad del nivel de exploración,7,La condición dividir por cero o el lazo de cálculo no convergieron en la PRT* de la banda K/Ka y V (KAV),* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,8,La condición dividir por cero o el lazo de cálculo no convergieron en la PRT de la banda WG,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,9,"La condición dividir por cero o el lazo de cálculo no convergieron en el estante receptor de la banda K/Ka, V, W, G, respecto del cálculo de la temperatura K PRT",* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,10,Condición fuera de la gama de valores para la PRT de la banda K/Ka y V,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,11,Condición fuera de la gama de valores para la PRT de la banda WG,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,12,Discordancia de temperaturas en PRT KAV,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,13,Discordancia de temperaturas en PRT WG,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,14,Error en la secuencia temporal,
0 33 080,Banderines de calidad del nivel de exploración,15,Datos faltantes: falta de exploración(es) antes de la exploración actual,
0 33 080,Banderines de calidad del nivel de exploración,16,Suficiencia de la PRT KAV: disponibilidad insuficiente de datos de PRT KAV,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,17,Suficiencia de la PRT de WG: disponibilidad insuficiente de datos de PRT WG,* PRT: temperatura de resistencia de platino
0 33 080,Banderines de calidad del nivel de exploración,18,Error en la orientación de la antena hacia el espacio,
0 33 080,Banderines de calidad del nivel de exploración,19,Error en la orientación de la antena hacia el cuerpo negro,
0 33 080,Banderines de calidad del nivel de exploración,Todo 20,Valor faltante,
0 33 081,Banderines de calidad de los datos del canal,1-2,Reservados,
0 33 081,Banderines de calidad de los datos del canal,3,Visión de espacio de la luna,
0 33 081,Banderines de calidad de los datos del canal,4,Error de ganancia: el cálculo del cuerpo negro es inferior o igual al cálculo de visión de espacio más elevado en una exploración,
0 33 081,Banderines de calidad de los datos del canal,5,Calibración con menos de las muestras preferidas,
0 33 081,Banderines de calidad de los datos del canal,6,Verificación de la suficiencia de datos de visión de espacio: disponibilidad insuficiente de muestras de visión de espacio,
0 33 081,Banderines de calidad de los datos del canal,7,Verificación de la suficiencia de datos de visión del cuerpo negro: disponibilidad insuficiente de muestras de visión del cuerpo negro,
0 33 081,Banderines de calidad de los datos del canal,8,Condición fuera de la gama de valores para la visión de espacio,
0 33 081,Banderines de calidad de los datos del canal,9,Condición fuera de la gama de valores para la visión del cuerpo negro,
0 33 081,Banderines de calidad de los datos del canal,10,Incoherencia de la visión de espacio,
0 33 081,Banderines de calidad de los datos del canal,11,Incoherencia de la visión del cuerpo negro,
0 33 081,Banderines de calidad de los datos del canal,Todo 12,Valor faltante,
0 33 082,Banderines de calidad del geoposicionamiento,1-5,Reservados,
0 33 082,Banderines de calidad del geoposicionamiento,6,Dentro de la anomalía del Atlántico sur,
0 33 082,Banderines de calidad del geoposicionamiento,7,Datos de entrada no válidos (indica que cualquiera de los datos sobre las efemérides o la posición de las aeronaves no son válidos),
0 33 082,Banderines de calidad del geoposicionamiento,8,"Puntería defectuosa (indica que la línea de visión del sensor no cruza el geoide, está cerca del limbo, tiene ángulos sensores no válidos u otra característica similar)",
0 33 082,Banderines de calidad del geoposicionamiento,9,Terreno defectuoso (indica que el algoritmo no pudo obtener un valor de terreno válido),
0 33 082,Banderines de calidad del geoposicionamiento,10,Ángulos solares no válidos,
0 33 082,Banderines de calidad del geoposicionamiento,11,"Falta, como máximo, una pequeña laguna de datos de altitud y efemérides",
