ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
,,023001,Artículos aplicables a la notificación rápida de un accidente,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023002,Actividad o instalación relacionada con el incidente,Tabla de cifrado,0,0,5,Tabla de cifrado,0,2,,,
,,023003,Tipo de emisión de sustancias,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023004,Contramedidas tomadas cerca de la frontera,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023005,Causa del incidente,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023006,Situación luego del incidente,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023007,Características de la emisión de sustancias,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023008,Emisión de sustancias: estado actual,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023009,Emisión de sustancias: estado previsto,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023016,Riesgo de una importante intoxicación de origen químico que afecte a la salud,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023017,Caudal de la principal masa de agua receptora,m³ s-1,6,0,20,m³ s-1,6,7,,,
,,023018,Evolución de la emisión de sustancias con el paso del tiempo,Tabla de cifrado,0,0,3,Tabla de cifrado,0,1,,,
,,023019,Altura real de la emisión de sustancias,m,0,-15000,17,m,0,6,,,
,,023021,Altura efectiva de la emisión de sustancias,m,0,-15000,17,m,0,6,,,
,,023022,Distancia del punto de emisión de sustancias al sitio del incidente,m,0,0,24,m,0,8,,,
,,023023,Velocidad del transporte principal en la atmósfera,m s-1,1,0,12,m s-1,1,4,,,
,,023024,Velocidad del transporte principal en el agua,m s-1,2,0,13,m s-1,2,4,,,
,,023025,Velocidad del transporte principal en el agua subterránea,m s-1,2,0,13,m s-1,2,4,,,
,,023027,Dirección del transporte principal en la atmósfera,grado verdadero,0,0,9,grado verdadero,0,3,,,
,,023028,Dirección del transporte principal en el agua,grado verdadero,0,0,9,grado verdadero,0,3,,,
,,023029,Dirección del transporte principal en el agua subterránea,grado verdadero,0,0,9,grado verdadero,0,3,,,
,,023031,Riesgo de que la columna radiactiva encuentre precipitaciones en el país en que ha ocurrido el incidente,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023032,Posibilidad de que la columna radiactiva sea afectada por un cambio en la dirección y/o en la velocidad del viento,Tabla de cifrado,0,0,2,Tabla de cifrado,0,1,,,
,,023040,Caudal – río,m³ s-1,1,0,22,m³ s-1,1,7,,,
,,023041,Caudal – pozo,m³ s-1,3,0,16,m³ s-1,3,5,,,
